Noun,Gender,Plurality
Jugendliche,f,Jugendliche
Gegensatz,m,Gegensätze
Inhalt,m,Inhalte
Farbe,f,Farben
Himmel,m,Himmel
Bibliothek,f,Bibliotheken
Berliner,m,Berliner
Zelle,f,Zellen
Kenntnis,f,Kenntnisse
Ansatz,m,Ansätze
Umständen,U,den
Papier,n,Papiere
Erinnerung,f,Erinnerungen
Maß,n,Maße
Kurs,m,Kurse
Umstand,m,Umstände
Sekunde,f,Sekunden
Sonne,f,f
Bein,n,Beine
Essen,n,Essen
Grundlage,f,Grundlagen
Wirklichkeit,f,Wirklichkeiten
Küche,f,Küchen
Wissenschaft,f,Wissenschaften
Hälfte,f,Hälften
Garten,m,Gärten
Druck,m,Drucke
Zustand,m,Zustände
Meer,n,Meere
Zeitpunkt,m,Zeitpunkte
Plan,m,Pläne
Hinweis,m,Hinweise
Auftrag,m,Aufträge
Baum,m,Bäume
Dienst,m,Dienste
Gegenstand,m,Gegenstände
Freude,f,Freuden
Gemeinde,f,Gemeinden
November,m,November
Position,f,Positionen
Netz,n,Netze
Forschung,f,Forschungen
Wald,m,Wälder
Bundesrepublik,f,Bundesrepubliken
Praxis,f,Praxen
Schluss,m,Schlüsse
Haut,f,Häute
Glas,n,Gläser
Maschine,f,Maschinen
Nummer,f,Nummern
Finger,m,Finger
Russisch,n,no plural
Titel,m,Titel
Roman,m,Romane
Hund,m,Hunde
Sicht,f,Sichten
Ausdruck,m,Ausdrücke
Politiker,m,Politiker
Theorie,f,Theorien
Team,n,Teams
Umwelt,f,Umwelten
Verein,m,Vereine
Freundin,f,Freundinnen
Haushalt,m,Haushalte
Dienstag,m,Dienstage
Material,n,Materialien
Tatsache,f,Tatsachen
Wagen,m,Wagen
Unterstützung,f,Unterstützungen
Schulter,f,Schultern
Umgebung,f,Umgebungen
Rest,m,Reste
Produktion,f,Produktionen
Sorge,f,Sorgen
Soldat,m,Soldaten
Fernsehen,n,no plural
Ruhe,f,no plural
Volk,n,Völker
Zeichen,n,Zeichen
Schaden,m,Schäden
Mittwoch,m,Mittwoche
Energie,f,Energien
Zweck,m,Zwecke
Angriff,m,Angriffe
Grad,m,Grade
Öffentlichkeit,f,no plural
Schutz,m,Schutze
Anteil,m,Anteile
Job,m,Jobs
Besuch,m,Besuche
Wind,m,Winde
Antrag,m,Anträge
Erklärung,f,Erklärungen
Beschäftigte,f,Beschäftigte
Laufe,L,no plural
Unterricht,m,Unterrichte
Amt,n,Ämter
Gang,m,Gänge
Behandlung,f,Behandlungen
Feld,n,Felder
Einrichtung,f,Einrichtungen
Lauf,m,Läufe
Zentrum,n,Zentren
Anschlag,m,Anschläge
Ausland,n,no plural
Faktor,m,Faktoren
Erkenntnis,f,Erkenntnisse
Spur,f,Spuren
Hotel,n,Hotels
Fehler,m,Fehler
Publikum,n,Publika
Berg,m,Berge
Analyse,f,Analysen
Hochschule,f,Hochschulen
Studie,f,Studien
Vorsitzende,f,Vorsitzende
Freizeit,f,Freizeiten
Partner,m,Partner
Freiheit,f,Freiheiten
Kritik,f,Kritiken
See,m,Seen
GmbH,f,GmbHs
Typ,m,Typen
See,m,Seen
Gegend,f,Gegenden
Ereignis,n,Ereignisse
Arbeitsplatz,m,Arbeitsplätze
Objekt,n,Objekte
Sprecher,m,Sprecher
Verantwortung,f,Verantwortungen
Fähigkeit,f,Fähigkeiten
Aufnahme,f,Aufnahmen
Kontrolle,f,Kontrollen
Opfer,n,Opfer
Wahrheit,f,Wahrheiten
Urlaub,m,Urlaube
Gebäude,n,Gebäude
Karte,f,Karten
Bezug,m,Bezüge
Jahrzehnt,n,Jahrzehnte
Prüfung,f,Prüfungen
Regelung,f,Regelungen
Gesellschafter,m,Gesellschafter
Bezug,m,Bezüge
Ausstellung,f,Ausstellungen
Norden,m,no plural
Hoffnung,f,Hoffnungen
Bitte,f,Bitten
Schiff,n,Schiffe
Ohr,n,Ohren
Tat,f,Taten
Gewinn,m,Gewinne
Band,n,Bänder
Einstellung,f,Einstellungen
Bericht,m,Berichte
Band,n,Bänder
König,m,Könige
Mai,m,Maie
Sieg,m,Siege
Band,n,Bänder
Gericht,n,Gerichte
Bund,m,Bünde
Traum,m,Träume
Vergangenheit,f,no plural
Direktor,m,Direktoren
Qualität,f,Qualitäten
Besucher,m,Besucher
Abschnitt,m,Abschnitte
Union,f,Unionen
Geographie,f,Geographien
Hintergrund,m,Hintergründe
Rand,m,Ränder
Amerikaner,m,Amerikaner
Verlust,m,Verluste
Bauer,m,Bauern
Freitag,m,Freitage
Ehe,f,Ehen
Winter,m,Winter
Ursache,f,Ursachen
Zuschauer,m,Zuschauer
Anzahl,f,no plural
Aktiengesellschaft,f,Aktiengesellschaften
Pflanze,f,Pflanzen
Samstag,m,Samstage
Störung,f,Störungen
Generation,f,Generationen
Eigenschaft,f,Eigenschaften
Vorschlag,m,Vorschläge
Januar,m,Januare
Vertreter,m,Vertreter
Bildung,f,Bildungen
Zentimeter,m,Zentimeter
Nachricht,f,Nachrichten
Insel,f,Inseln
Instrument,n,Instrumente
Abstand,m,Abstände
Leiter,f,Leitern
Geist,m,Geister
Semester,n,Semester
Stand,m,Stände
Dezember,m,Dezember
Abschluss,m,Abschlüsse
Tradition,f,Traditionen
Interview,n,Interviews
Blatt,n,Blätter
Donnerstag,m,Donnerstage
Leiter,f,Leitern
Basis,f,Basen
Bühne,f,Bühnen
Museum,n,Museen
Element,n,Elemente
Mama,f,Mamas
Nutzung,f,Nutzungen
Dame,f,Damen
Behörde,f,Behörden
Kommunikation,f,Kommunikationen
Anlage,f,Anlagen
Hof,m,Höfe
Gelegenheit,f,Gelegenheiten
Terror,m,no plural
Verständnis,n,Verständnisse
Bürgermeister,m,Bürgermeister
Ecke,f,Ecken
Auseinandersetzung,f,Auseinandersetzungen
Ansicht,f,Ansichten
Herbst,m,Herbste
Definition,f,Definitionen
Kriterium,n,Kriterien
Bahn,f,Bahnen
Jude,m,Juden
Zusammenarbeit,f,Zusammenarbeiten
Masse,f,Massen
Veranstaltung,f,Veranstaltungen
Nation,f,Nationen
Hobby,n,Hobbys
Bau,m,Bauten
Änderung,f,Änderungen
Ausnahme,f,Ausnahmen
Flugzeug,n,Flugzeuge
Stein,m,Steine
Foto,n,Fotos
Phase,f,Phasen
Ton,m,Tone
Italienisch,n,no plural
Landschaft,f,Landschaften
Konflikt,m,Konflikte
Lust,f,Lüste
Mehrheit,f,Mehrheiten
Leitung,f,Leitungen
Kandidat,m,Kandidaten
Franken,F,no plural
Kaffee,m,Kaffees
Aktivität,f,Aktivitäten
Fest,n,Feste
Dach,n,Dächer
Rechnung,f,Rechnungen
Schloss,n,Schlösser
Nachmittag,m,Nachmittage
Mannschaft,f,Mannschaften
Stern,m,Sterne
Runde,f,Runden
Laden,m,Läden
Experte,m,Experten
Meister,m,Meister
Mauer,f,Mauern
Gestalt,f,Gestalten
Figur,f,Figuren
Büro,n,Büros
Frieden,m,no plural
Umgang,m,Umgänge
Industrie,f,Industrien
Branche,f,Branchen
Zugang,m,Zugänge
Stellung,f,Stellungen
Vorgang,m,Vorgänge
Darstellung,f,Darstellungen
Wachstum,n,no plural
Dauer,f,Dauern
Szene,f,Szenen
Lager,n,Lager
Strecke,f,Strecken
Blut,n,Blute
Schatten,m,Schatten
Lehre,f,Lehren
Gewalt,f,Gewalten
Rat,m,Räte
Institution,f,Institutionen
Spitze,f,Spitzen
Konzern,m,Konzerne
Katze,f,Katzen
Pferd,n,Pferde
Fußball,m,Fußbälle
Weltmeisterschaft,f,Weltmeisterschaften
Konsequenz,f,Konsequenzen
Stuhl,m,Stühle
Feuer,n,Feuer
Ausländer,m,Ausländer
Aktion,f,Aktionen
Gymnasium,n,Gymnasien
Verband,m,Verbände
Juli,m,Julis
Tor,n,Tore
Nase,f,Nasen
Ausgabe,f,Ausgaben
Anlass,m,Anlässe
Süden,m,no plural
Aktie,f,Aktien
Trainer,m,Trainer
Telefon,n,Telefone
Führung,f,Führungen
Club,m,Clubs
Nachbar,m,Nachbarn
Medizin,f,Medizinen
Terrorismus,m,no plural
Software,f,Softwares
Stufe,f,Stufen
Bundesland,n,Bundesländer
Fluss,m,Flüsse
Geschwindigkeit,f,Geschwindigkeiten
Gut,n,Güter
Zweifel,m,Zweifel
Effekt,m,Effekte
Messe,f,Messen
Bad,n,Bäder
Belastung,f,Belastungen
Vorschrift,f,Vorschriften
Umfang,m,Umfänge
Bus,m,Busse
Anforderung,f,Anforderungen
Kommission,f,Kommissionen
Fahrrad,n,Fahrräder
Mangel,m,Mängel
Richter,m,Richter
Anbieter,m,Anbieter
Wiener,m,Wiener
Terrorist,m,Terroristen
Urteil,n,Urteile
Krankenhaus,n,Krankenhäuser
Schmerz,m,Schmerzen
Schuld,f,Schulden
Jugend,f,no plural
Fleisch,n,no plural
Juni,m,Junis
Stimmung,f,Stimmungen
Wein,m,Weine
Welle,f,Wellen
Tasche,f,Taschen
Decke,f,Decken
Fisch,m,Fische
Wettbewerb,m,Wettbewerbe
Tante,f,Tanten
Temperatur,f,Temperaturen
Leser,m,Leser
Auswirkung,f,Auswirkungen
Bedürfnis,n,Bedürfnisse
Wetter,n,Wetter
Ware,f,Waren
Alternative,f,Alternativen
Haltung,f,Haltungen
Waffe,f,Waffen
Ahnung,f,Ahnungen
Quelle,f,Quellen
Manager,m,Manager
Loch,n,Löcher
Kleid,n,Kleider
Regen,m,Regen
Spieler,m,Spieler
Brust,f,Brüste
Religion,f,Religionen
Länge,f,Längen
Koalition,f,Koalitionen
Einführung,f,Einführungen
Förderung,f,Förderungen
Fahrt,f,Fahrten
Wissenschaftler,m,Wissenschaftler
Vorwurf,m,Vorwürfe
April,m,Aprile
Bier,n,Biere
Summe,f,Summen
Tourist,m,Touristen
Bundesregierung,f,Bundesregierungen
Verwendung,f,Verwendungen
Strom,m,Ströme
Test,m,Tests
Vertrauen,n,no plural
Umsatz,m,Umsätze
Termin,m,Termine
Realität,f,Realitäten
Leid,n,no plural
Landwirtschaft,f,Landwirtschaften
Krise,f,Krisen
Pause,f,Pausen
Phänomen,n,Phänomene
Suche,f,Suchen
Parlament,n,Parlamente
Perspektive,f,Perspektiven
Merkmal,n,Merkmale
März,m,Märze
Lied,n,Lieder
Konzert,n,Konzerte
Botschaft,f,Botschaften
Brot,n,Brote
Fortschritt,m,Fortschritte
Formel,f,Formeln
Weltkrieg,m,Weltkriege
Aufbau,m,Aufbauten
Arbeitgeber,m,Arbeitgeber
August,m,Auguste
Flasche,f,Flaschen
Bestimmung,f,Bestimmungen
Pflicht,f,Pflichten
Teilnehmer,m,Teilnehmer
Wille,m,Willen
Nachfrage,f,Nachfragen
Mühe,f,Mühen
Hauptstadt,f,Hauptstädte
Geburtstag,m,Geburtstage
Gegenwart,f,no plural
Studiengang,m,Studiengänge
Debatte,f,Debatten
Gegner,m,Gegner
Weile,f,Weilen
Käufer,m,Käufer
Kilogramm,n,Kilogramme
Hinsicht,f,Hinsichten
Betrag,m,Beträge
Fremdsprache,f,Fremdsprachen
Adresse,f,Adressen
Verwaltung,f,Verwaltungen
Heimat,f,Heimaten
Konkurrenz,f,Konkurrenzen
Kino,n,Kinos
Hals,m,Hälse
Ablauf,m,Abläufe
Schwerpunkt,m,Schwerpunkte
Kauf,m,Käufe
Mathematik,f,no plural
Streit,m,Streite
Verhandlung,f,Verhandlungen
Schicht,f,Schichten
Gemeinschaft,f,Gemeinschaften
Gegenteil,n,Gegenteile
Platte,f,Platten
Minister,m,Minister
Nachteil,m,Nachteile
Management,n,Managements
Millimeter,m,Millimeter
Sitz,m,Sitze
Erwachsene,f,Erwachsene
Kanzler,m,Kanzler
Fahrer,m,Fahrer
Handel,m,Händel
Drittel,n,Drittel
Arbeitnehmer,m,Arbeitnehmer
Gewerkschaft,f,Gewerkschaften
Beamte,m,
Verdacht,m,Verdachte
Start,m,Starts
Vogel,m,Vögel
Widerstand,m,Widerstände
Tourismus,m,no plural
Tabelle,f,Tabellen
Spanisch,n,no plural
Steuer,f,Steuern
Polizist,m,Polizisten
Schriftsteller,m,Schriftsteller
Investition,f,Investitionen
Planung,f,Planungen
Bundestag,m,Bundestage
Therapie,f,Therapien
Türkish,T,h
Überlegung,f,Überlegungen
Steuer,f,Steuern
Stärke,f,Stärken
Einnahme,f,Einnahmen
Bewusstsein,n,no plural
Verletzung,f,Verletzungen
Abgeordnete,f,Abgeordnete
Beschreibung,f,Beschreibungen
Erkrankung,f,Erkrankungen
Flughafen,m,Flughäfen
Fläche,f,Flächen
Armee,f,Armeen
Verkehr,m,Verkehre
Anschluss,m,Anschlüsse
Boot,n,Boote
Gehirn,n,Gehirne
Gesundheit,f,no plural
Atmosphäre,f,Atmosphären
Auswahl,f,Auswahlen
Bahnhof,m,Bahnhöfe
Wechsel,m,Wechsel
Park,m,Parks
Stirn,f,Stirnen
PC,m,PCs
Strategie,f,Strategien
Alltag,m,no plural
Bundeskanzler,m,Bundeskanzler
Auftritt,m,Auftritte
Demokratie,f,Demokratien
Saison,f,Saisons
Post,f,
Physik,f,no plural
Standort,m,Standorte
Verlag,m,Verlage
Zeitraum,m,Zeiträume
Pfarrer,m,Pfarrer
Schicksal,n,Schicksale
Hersteller,m,Hersteller
Erwartung,f,Erwartungen
Schrift,f,Schriften
Niveau,n,Niveaus
Liste,f,Listen
Holz,n,Hölzer
Knie,n,Knie
Kombination,f,Kombinationen
Fotografie,f,Fotografien
Fahrzeug,n,Fahrzeuge
Forscher,m,Forscher
Radio,n,Radios
Beweis,m,Beweise
HGB,H,ncountable
Aids,n,no plural
Detail,n,Details
Kasse,f,Kassen
Organismus,m,Organismen
Kategorie,f,Kategorien
Integration,f,Integrationen
Abteilung,f,Abteilungen
Dimension,f,Dimensionen
Gewicht,n,Gewichte
Frühjahr,n,Frühjahre
Beratung,f,Beratungen
Beschäftigung,f,Beschäftigungen
Verbesserung,f,Verbesserungen
Unfall,m,Unfälle
Februar,m,Februare
Verpflichtung,f,Verpflichtungen
Bundesrat,m,Bundesräte
Betrachtung,f,Betrachtungen
Bedarf,m,Bedarfe
Abitur,n,Abiture
Bewertung,f,Bewertungen
Wesen,n,Wesen
Mittelpunkt,m,Mittelpunkte
Arbeitslosigkeit,f,no plural
Kompetenz,f,Kompetenzen
Bezeichnung,f,Bezeichnungen
Vermögen,n,Vermögen
Treppe,f,Treppen
Journalist,m,Journalisten
Beteiligung,f,Beteiligungen
Lebensmittel,n,Lebensmittel
Strand,m,Strände
Spiegel,m,Spiegel
Beobachtung,f,Beobachtungen
Star,m,Stare
Teilchen,n,Teilchen
Nutzen,n,no plural
Ministerpräsident,m,Ministerpräsidenten
Lippe,f,Lippen
Taste,f,Tasten
Signal,n,Signale
Ruf,m,Rufe
Standard,m,Standards
CD,f,CDs
Substanz,f,Substanzen
Geschäftsführer,m,Geschäftsführer
Gebrauch,m,Gebräuche
Russe,m,Russen
Brücke,f,Brücken
Oberfläche,f,Oberflächen
Initiative,f,Initiativen
Glaube,m,
Experiment,n,Experimente
Vorbereitung,f,Vorbereitungen
Anwalt,m,Anwälte
Vordergrund,m,Vordergründe
Grundsatz,m,Grundsätze
Rennen,n,Rennen
Versicherung,f,Versicherungen
Komponente,f,Komponenten
Reich,n,Reiche
Viertel,n,Viertel
Verkauf,m,Verkäufe
Schuh,m,Schuhe
Seminar,n,Seminare
Truppe,f,Truppen
Spannung,f,Spannungen
Technologie,f,Technologien
Umfeld,n,Umfelder
Schlag,m,Schläge
Sendung,f,Sendungen
Vorjahr,n,Vorjahre
Verbraucher,m,Verbraucher
Kanal,m,Kanäle
Schlaf,m,Schläfe
Erlebnis,n,Erlebnisse
Bilanz,f,Bilanzen
Sender,m,Sender
Plus,n,Plus
Quartal,n,Quartale
Rechner,m,Rechner
Kredit,m,Kredite
Karriere,f,Karrieren
Kamera,f,Kameras
Identität,f,Identitäten
Rad,n,Räder
Grundstück,n,Grundstücke
Verlauf,m,Verläufe
Bewohner,m,Bewohner
Erziehung,f,no plural
Zigarette,f,Zigaretten
Atem,m,no plural
Auffassung,f,Auffassungen
Aktionär,m,Aktionäre
Charakter,m,Charaktere
Geburt,f,Geburten
Einkommen,n,Einkommen
Tal,n,Täler
Tiefe,f,Tiefen
Schnee,m,no plural
Sitzung,f,Sitzungen
Service,m,Services
Schülerin,f,Schülerinnen
Sturm,m,Stürme
Halle,f,Hallen
Reform,f,Reformen
Herausforderung,f,Herausforderungen
Niederlage,f,Niederlagen
Schauspieler,m,Schauspieler
Mittag,m,Mittage
Informationstechnologie,f,Informationstechnologien
Norm,f,Normen
Restaurant,n,Restaurants
Träne,f,Tränen
Außenminister,m,Außenminister
Arzneimittel,n,Arzneimittel
Annahme,f,Annahmen
Zustimmung,f,Zustimmungen
Zufall,m,Zufälle
Benutzer,m,Benutzer
Trauer,f,no plural
Vorstand,m,Vorstände
Bescheid,m,Bescheide
Argument,n,Argumente
Angehörige,f,Angehörige
Blume,f,Blumen
Hinblick,m,no plural
Fraktion,f,Fraktionen
Grundgesetz,n,Grundgesetze
Bundeswehr,f,wehr
Individuum,n,Individuen
Existenz,f,Existenzen
Händler,m,Händler
Katastrophe,f,Katastrophen
Disziplin,f,Disziplinen
Versorgung,f,Versorgungen
Umsetzung,f,Umsetzungen
Papa,m,Papas
Sand,m,Sande
Opposition,f,Oppositionen
Tendenz,f,Tendenzen
Musiker,m,Musiker
Motiv,n,Motive
Verkäufer,m,Verkäufer
Training,n,Trainings
Personal,n,Personale
Station,f,Stationen
Wandel,m,Wandel
Ausmaß,n,Ausmaße
Angelegenheit,f,Angelegenheiten
Auskunft,f,Auskünfte
Fleck,m,Flecke
Wunder,n,Wunder
Begründung,f,Begründungen
Engagement,n,Engagements
Entfernung,f,Entfernungen
Koffer,m,Koffer
Unternehmer,m,Unternehmer
Immunsystem,n,Immunsysteme
Griechisch,n,no plural
Video,n,Videos
Not,f,Nöte
Persönlichkeit,f,Persönlichkeiten
Seele,f,Seelen
Schlüssel,m,Schlüssel
Schreibtisch,m,Schreibtische
Unternehmung,f,Unternehmungen
Vereinbarung,f,Vereinbarungen
Handlung,f,Handlungen
Ferne,f,Fernen
Café,n,Cafés
Erzählung,f,Erzählungen
Wahrnehmung,f,Wahrnehmungen
Gedicht,n,Gedichte
Äußerung,f,Äußerungen
Angestellte,f,Angestellte
Datei,f,Dateien
Begegnung,f,Begegnungen
Dienstleistung,f,Dienstleistungen
Vielzahl,f,no plural
Träger,m,Träger
Tonne,f,Tonnen
Trend,m,Trends
Kanton,m,Kantone
Keller,m,Keller
Gründung,f,Gründungen
Verwandte,f,Verwandte
Operation,f,Operationen
Qualifikation,f,Qualifikationen
Konto,n,Konten
Variante,f,Varianten
Vielfalt,f,no plural
Sammlung,f,Sammlungen
Aufwendungen,f,dungen
Berechnung,f,Berechnungen
Zahlung,f,Zahlungen
Bestand,m,Bestände
Arbeiter,m,Arbeiter
Entwurf,m,Entwürfe
Bauch,m,Bäuche
Aufwand,m,Aufwände
Entwicklungsland,n,Entwicklungsländer
Kern,m,Kerne
Hose,f,Hosen
Impuls,m,Impulse
Finanzierung,f,Finanzierungen
Kapital,n,
Fachhochschule,f,Fachhochschulen
Fernseher,m,Fernseher
Motor,m,Motoren
Rang,m,Ränge
Zahn,m,Zähne
Republik,f,Republiken
Salz,n,Salze
Wahlkampf,m,Wahlkämpfe
Schilling,m,Schilling
