jammerlich-adj; adv	pathetic; miserably
Requisit-N	prop
Krucke-F	crutch
Hering-M	herring
Formalitat-F	formality
Redensart-F	idiom, saying
Attrappe-F	dummy
Jockey-M	jockey
Ventilator-M	fan
Gewissensbiss-M	remorse
Bewunderer-M	admirer
Arrangement-N	arrangement
Spinat-M	spinach
erloschen-vb; N	expire; expiration
Depot-N	depot, deposit
Operationssaal-M	surgery
Erzahlung-F	narrative
Blindganger-M	dud, nonstarter
Annaherung-F	approach,
Schusslinie-F	line of fire
Jubilaum-N	anniversary
Blech-N	sheet (metal)
Gespur-N	intuition, sense
Aufpasser-M	chaperone
Patriot-M	patriot
Gestein-N	rock
Prasidium-N	headquarters
Wunderkind-N	prodigy
Magd-F	maid
Vergaser-M	carburetor
Schaufenster-N	show window
Uhrwerk-N	clockwork
Petroleum-N	kerosene
Denkweise-F	mindset
Burde-F	burden, liability
Jacht-F	yacht
Dossier-NIM	dossier
Waffel-F	waffle
Sprengung-F	detonation
Klapsmuhle-F	nuthouse (coll)
Dienstmarke-F	badge
Gram-M	grief (fml)
Geback-N	cookies
Flaschchen-N	vial
lntrige-F	intrigue
Zuckerwatte-F	cotton candy
Schurze-F	apron
 Mathematiker-M	mathematician
Zauberspruch-M	(magic) spell
Partikel-F	particle
Vergessenheit-F	oblivion
Schutzschild-N	shield
Nobelpreis-M	Nobel prize
 Meineid-M	perjury
 Telefonat-N	phone call
 Kleiderschrank-M	wardrobe
 Oberschenkel-M	thigh
 Anta rktis-F	Antarctic
Kohlendioxid-N	carbon dioxide
Ballast-M	ballast
Luftschleuse-F	airlock
Abschuss-M	launch
Erektion-F	erection
Milliardar-M	billionaire
Lokomotive-F	locomotive
Raubtier-N	predator
Sonnenbrand-M	sunburn
Deal-M	deal (coll)
Brut-F	spawn
Perversion-F	perversion
Wiederbelebu ng-F	revival, resuscitation
Alge-F	alga
Hygiene-F	hygiene
Kot-M	manure
Gequatsche-N	chatter (coll)
Fanfare-F	fanfare
Biographie-F	biography
Frustration-F	frustration
Webseite-F	website
Pforte-F	gate
Exempel-N	example (fml)
Meute-F	mob
Medizinmann-M	shaman
Zeugena ussage-F	testimony
Tiefpunkt-M	low
Plunder-M	rubbish
Verfolgungsjagd-F	chase
StraBenrand-M	roadside
Plananderung-F	change of plan
Set-N/M	set
Streuner-M	stray
Orgel-F	organ
Affchen-N	little monkey
Ration-F	ration
Menschenseele-F	(human) soul
Geldborse-F	purse
Schnappchen-N	bargain
Unterredung-F	discussion
ldentifikation-F	identification
Lautstarke-F	volume, loudness
StrauB-M	bunch, ostrich
Widmung-F	dedication
Deserteur-M	deserter
Besteck-N	cutlery
Abneigung-F	dislike
Trommelwirbel-M	drum roll
Zufluchtsort-M	sanctuary
Romantiker-M	romantic
Macke-F	quirk (coll)
Faschismus-M	fascism
Betaubungsmittel-N	sedative
Foyer-N	lobby
Lava-F	lava
Schlafsack-M	sleeping bag
Schauer-M	awe, shower
Vorzug-M	preference,
Spionage-F	espionage
Barriere-F	barrier
PfUtze-F	puddle
BUrste-F	brush
Kapsel-F	capsule
Paddel-N	paddle
Blickfeld-N	focus
Schwert-N	sword
Slogan-M	slogan
Stabilitat-F	stability
Gedarm-N	bowels
Schlagzeuger-M	drummer
Kruste-F	crust
Modus-M	mode
Kollision-F	collision
Navigator-M	navigator
Totung-F	killing
Verzeichnis-N	directory
Serbien-N	Serbia
Nachstenliebe-F	charity
SchuhgroBe-F	shoe size
Tschechoslowa kei-F	Czechoslovakia
Dirne-F	prostitute
Erbe-N; M	heritage; heir
Streber-M	nerd (coll)
 Bit-N	bit
 Rockstar-M	rock star (coll)
 Bitterkeit-F	bitterness
 Aussprache-F	pronunciation, debate
Lokfuhrer-M	engineer
Faser-F	fiber
Pate-M	godfather
Leichenbeschauer-M	coroner
Phase-F	phase
Huf-M	hoof
Lateinamerika-N	Latin America
Tapete-F	wallpaper
Festplatte-F	hard drive
Telefonist-M	operator
Petition-F	petition
Strophe-F	verse, stanza
Konfrontation-F	confrontation
Herausgeber-M	publisher
Hardware-F	hardware
Steuermann-M	helmsman
Spurensicherung-F	forensics
