Word,Definitions
machen,"machen (weak, third-person singular present macht, past tense machte, past participle gemacht, auxiliary haben); (transitive) to make, produce, create (an object, arrangement, situation, etc.); (transitive, of food, drinks, etc.) to make, prepare; (transitive, informal) to do, perform, carry out (to execute; to put into operation (an action)); (transitive, with a noun) to do; indicates an activity associated with a noun; (transitive) to go (to make the (specified) sound); (transitive) to make (to cause or compel (to do something)); (transitive, of difficulties, pain, etc.) to cause (to set off an event or action or produce as a result); (transitive, with an adjective) to make (to cause to be); (transitive, with a noun) to make (transform from one thing into another); (transitive, usually not translated literally) to make (to have as a feature); (transitive, informal, colloquial) to come to, total, cost (to require the payment of); (transitive, arithmetic) to make, be (the result of a calculation); (transitive, informal, colloquial) to make (to earn, gain wages, profit, etc.); (transitive) to be, play (to act as the indicated role, especially in a performance); (transitive, impersonal, colloquial) to matter (to be important); (intransitive) to make, make oneself out to be, act, play (to behave so as to give an appearance of being; to act as if one were (something, or a certain way)) [+ auf (object)]; (intransitive, informal, euphemistic) to do one's business, do number two or number one, go (to defecate or urinate); (reflexive) to do (to fare or perform (well or poorly)); (reflexive) to look (to have an appearance of being); (reflexive dative, colloquial) to get cracking (an (“on,” “with”)), get a move on (it), to get down (an (“to”)) (something); (in imperative:) come on, let's go"
kein,kein; no; not a(n); not one; not any
Jahr,"Jahr n (strong, genitive Jahres or Jahrs, plural Jahre or Jahr, diminutive Jährchen n or Jährlein n); year (solar year, the time it takes the Earth to complete one revolution of the Sun); year (time it takes for any astronomical object to directly orbit its star); year (period between set dates that mark a year); year (level or grade in school or college)"
anderem,anderem; strong dative masculine/neuter singular of anderer
sich,"sich (both accusative and dative); (reflexive) Reflexive pronoun of the third person singular: herself, himself, itself, oneself (direct or indirect object).; (reflexive) Reflexive pronoun of the third person plural: themselves (direct or indirect object)."
geben,"geben (class 5 strong, third-person singular present gibt, past tense gab, past participle gegeben, past subjunctive gäbe, auxiliary haben); (ditransitive) to give (changing ownership); (ditransitive) to hand, to pass, to put within reach; (impersonal, transitive) Used to indicate that something exists (often with a certain property and/or in a certain location). Usually translated as there is/are or there exist(s); (ditransitive, transitive) to communicate (helpful information such as a hint or advice), to signal (in a certain way such as a sign); (transitive) to present; to put; (transitive) to result in"
oder,oder; or
mal,"mal; times (indicating multiplication of two numbers); (informal) Alternative form of einmal (“sometime, ever, once”), may serve to introduce a new information.; (informal) Softening a sentence, thus making a request or command more polite. By extension, indicating a command or request."
Mal,"Mal n (strong, genitive Males or Mals, plural Male or Mal); time (as in the first time; many times); occasion, case, occurrence"
so,"so; so, such, that; as (followed by an adjective or adverb plus wie in a statement of equality); thus, like this/that, in this/that way, in this/that manner; then (in that case); (colloquial) expletive; sometimes intensifying, sometimes with no noticeable meaning"
hier,"hier; (location) here; in this place; refers to an environment one is currently in, or to something within reach; (location) there; right there; in that place; refers to something that is considered nearby, or can be seen and pointed at; (abstract) here (within this context); used with the definite article or the determiner dieser (“this, that”) to express proximity (“this”)"
viel,"viel; much, a lot"
gut,"gut (strong nominative masculine singular guter, comparative besser, superlative am besten); good (acting in the interest of what is beneficial, ethical, or moral); good (effective; useful); good (fortunate); good (having a particularly pleasant taste); all right, fair, proper (satisfactory); good (full; entire; at least as much as)"
immer,"immer; always; (with comparative) to a greater degree over time, more and more; (colloquial, unstressed) used to emphasize another adverb of time, which itself is stressed"
gehen,"gehen (class 7 strong, third-person singular present geht, past tense ging, past participle gegangen, auxiliary sein); (intransitive) to go, to walk; (intransitive) to leave; (intransitive) to leave, to take off (aeroplane, train); (impersonal, intransitive) to be going; to be all right; indicates how the dative object fares; (slightly informal, intransitive, often impersonal) to be possible; (colloquial, intransitive) to work, to function (of a machine, method or the like); (colloquial, intransitive) to last, to go for, to go on, to be in progress; to sit, to rise, to expand (of dough etc.); (colloquial, intransitive) to be (on) (to pay); (regional or dated, impersonal, intransitive) to approach; to be going (on some one) [+ auf (object) = time]; (with genitive, only in combination with Weg) to go one's way, to make one's way (of a path, destination), to go separate ways"
jetzt,"jetzt; now (at this moment, right now); now, then (expressing a logical or temporal consequence); now (unstressed and expletive, used for minor emphasis)"
wieder,wieder; Indicates that the action taking place has happened before. again; Indicates that the action will return something to its original state or position. back
neu,"neu (strong nominative masculine singular neuer, comparative neuer, superlative am neuesten or am neusten); new; modern, recent, latest"
groß,"groß (strong nominative masculine singular großer, comparative größer, superlative am größten or am größesten); big, large, large-scale; great, grand; (of a person) tall; (childish) pertaining to defecation"
wollen,"wollen (strong nominative masculine singular wollener, not comparable); (relational) wool; woolen, woollen"
ganz,"ganz (strong nominative masculine singular ganzer, not comparable); entire, whole, complete; (informal) all (with definite article or determiner); (colloquial) whole, intact; (in certain combinations) true; real; (mathematics) integer (of a number)"
sehr,"sehr (comparative mehr, superlative am meisten); very; a lot, much"
wissen,"wissen (preterite-present, third-person singular present weiß, past tense wusste, past participle gewusst, past subjunctive wüsste, auxiliary haben); (transitive or intransitive) to know; to be aware of (a fact); to remember (with noch)"
kommen,"kommen (class 4 strong, third-person singular present kommt, past tense kam, past participle gekommen, past subjunctive käme, auxiliary sein); (intransitive) to come; to arrive; (intransitive) to come to; to come over (go somewhere so as to join someone else); (intransitive) to get; to make it (go somewhere in a way that implies an obstacle or difficulty to be overcome); (intransitive) to go to; to be put in (go somewhere in a way that is predetermined or prearranged); (intransitive, imperative, often with schon) to come on (Used to encourage someone to do something.); (intransitive, impersonal) to occur; to happen; to come to be; (impersonal) to be played (of a song or film); (intransitive, with von or durch) to be due to; to be the result of; (intransitive) to come from (to have a social or geographic background) [+ aus (dative)]; (intransitive, personal or impersonal + dative) to orgasm; to cum; (intransitive) to be statistically equivalent to; to be there for [+ auf (accusative)]; (intransitive) to obtain (a solution or result) [+ auf (accusative)]; (intransitive) to get an idea; to think of; to remember; to imagine [+ auf (accusative)]; (intransitive) to lose; to forfeit; not to get [+ um (object)]; (intransitive, with an or gegen + accusative) to touch inadvertently; (intransitive) to manage to reach (something high up etc.) [+ an (accusative)]; (colloquial, copulative, with gut or in Ordnung) to turn out (well)"
doch,doch; though; yet; but; however; nevertheless; for all that; after all; but
sollen,"sollen (preterite-present, third-person singular present soll, past tense sollte, past participle gesollt, auxiliary haben); (auxiliary) should; to be obligated (to do something); ought; shall; (auxiliary) to be recommended (to do something); to be asked (to do something); (auxiliary) to be intended (to do something); to be meant (to be something); (auxiliary) to be said (to do something); reportedly; they say that; I hear that; so they say; rumor has it; supposedly.; (auxiliary, in a subordinate clause in the simple past tense) would; indicates that the subordinate clause indicates something that would happen in the past but after the time frame of the main clause; (auxiliary, in a subordinate clause in the subjunctive) should; indicates that the subordinate clause indicates a hypothetical and unlikely condition for the main clause"
erste,"erste (no predicative form, strong nominative masculine singular erster, not comparable); (ordinal number) first"
ersten,ersten; inflection of erste:
so,"so; so, such, that; as (followed by an adjective or adverb plus wie in a statement of equality); thus, like this/that, in this/that way, in this/that manner; then (in that case); (colloquial) expletive; sometimes intensifying, sometimes with no noticeable meaning"
gut,"gut (strong nominative masculine singular guter, comparative besser, superlative am besten); good (acting in the interest of what is beneficial, ethical, or moral); good (effective; useful); good (fortunate); good (having a particularly pleasant taste); all right, fair, proper (satisfactory); good (full; entire; at least as much as)"
erste,"erste (no predicative form, strong nominative masculine singular erster, not comparable); (ordinal number) first"
lange,"lange; long, for a long time; in a long time"
sehen,"sehen (class 5 strong, third-person singular present sieht, past tense sah, past participle gesehen, past subjunctive sähe, auxiliary haben); (intransitive) to see; to have sight; (transitive) to see (something); to perceive by vision; (transitive or intransitive) to realize; to notice; to see; to find out; (transitive) to meet (somebody); to meet up; to see; but not in the sense of “pay a visit to”, nor as a euphemism for having a romantic or sexual relation; (intransitive, often with auf, also nach) to look at; to watch; the construction with nach often implies a turning of the head; other prepositions can be used depending on the context; (intransitive) to check on; to look after; to see to [+ nach (object)]; (intransitive, informal) to decide spontaneously and/or by personal preference; to wait and see"
jeder,jeder; each
lang,"lang (strong nominative masculine singular langer, comparative länger, superlative am längsten); long; lengthy (in space or time); (of a person) tall; (with units of time, chiefly Jahre) many (indicating the length of the time in total)"
stehen,"stehen (irregular strong, third-person singular present steht, past tense stand, past participle gestanden, past subjunctive stände or stünde, auxiliary haben or sein); (intransitive) to stand (to be upright, support oneself on the feet in an erect position); (intransitive) to be, to appear, to stand (to be placed or located somewhere); (intransitive) to stay; to be still; (intransitive, copulative) to stay, to stand, to be (in a certain state, position or circumstance); (transitive) to suit, to become (to look attractive on, of a garment, color etc.); (Switzerland) to put, place; (colloquial, transitive with auf) to fancy"
Beispiel,"Beispiel n (strong, genitive Beispieles or Beispiels, plural Beispiele); example"
dieser,"dieser (demonstrative); this one, this; that one, that"
letzter,letzter; inflection of letzte:
damit,damit; pronominal adverb of mit
der,der (definite); the
Zeit,"Zeit f (genitive Zeit, plural Zeiten); time (as a concept); time of day (clipping of Uhrzeit.); period, era (time in the past); stint (e.g. in the army); (grammar) tense"
langem,langem; strong dative masculine/neuter singular of lang
oben,oben; above; north; upstairs; at an earlier point in a text
lassen,"lassen (class 7 strong, third-person singular present lässt, past tense ließ, past participle gelassen or (with an infinitive) lassen, auxiliary haben); (transitive, with an infinitive, past participle: “lassen”) to allow; to permit; to let; (transitive, with an infinitive, past participle: “lassen”) to have someone (do something); to have (something done); to make (something happen); to cause (something to be done); (transitive, past participle: “gelassen”) to let remain, to leave (in a certain state); (transitive, past participle: “gelassen”) to stop (something); to quit; to refrain from; to help doing (something); (intransitive, past participle: “gelassen”) to cease; to desist"
Beispiel,"Beispiel n (strong, genitive Beispieles or Beispiels, plural Beispiele); example"
der,der (definite); the
ganze,ganze; inflection of ganz:
wo,"wo; (interrogative) where (at what place); (relative) where (at or in which place or situation); (relative, somewhat informal) when, that (on which; at which time); (indefinite, colloquial) somewhere (in or to an uncertain or unspecified location)"
selbst,selbst; even
eigentlich,eigentlich; actually
etwas,etwas; something
alt,"alt (strong nominative masculine singular alter, comparative älter, superlative am ältesten); old; ancient; elderly (inflected in the comparative)"
Deutsche,"Deutsche f (adjectival, definite nominative die Deutsche, genitive Deutscher, definite genitive der Deutschen, plural Deutsche, definite plural die Deutschen, masculine Deutscher); female equivalent of Deutscher: female German"
nächsten,nächsten; superlative degree of nah
Deutscher,"Deutscher m (adjectival, definite nominative der Deutsche, genitive (des) Deutschen, plural Deutsche, definite plural die Deutschen, feminine Deutsche); German (male or of unspecified gender)"
finden,"finden (class 3 strong, third-person singular present findet, past tense fand, past participle gefunden, past subjunctive fände, auxiliary haben); (transitive) to find; to discover; (transitive, with a predicate adjective or predicate noun (accusative))  to think that (something) is (a certain way); to consider (something) to be (a certain way); to find; (intransitive) to find one’s way"
wenig,"wenig (strong nominative masculine singular weniger, comparative weniger or minder, superlative am wenigsten or am mindesten); little, few (a small amount, a small number)"
deutsch,"deutsch (strong nominative masculine singular deutscher, comparative deutscher, superlative am deutschesten); (relational) German (of or pertaining to the German people); (relational) German (of or pertaining to Germany); (relational) German (of or pertaining to the German language)"
Deutsch,"Deutsch n (proper noun, language name, genitive Deutsch or Deutschs, alternative nominative (used with the definite article) Deutsche, alternative genitive Deutschen, no plural); German (primary language of Germany and several surrounding countries)"
nichts,nichts n (indefinite pronoun); nothing
Tag,"Tag m (strong, genitive Tages or Tags, plural Tage, diminutive Tägchen n); (countable) day (24-hour period); (countable) day (period from midnight to the following midnight); (countable, astronomy) day (rotational period of a planet, moon or any celestial body (especially Earth)); (countable) day, daylight (period between sunrise and sunset when there is daylight); (uncountable) day, daylight, light (light from the Sun); (uncountable, figurative) light (open view; a visible state or condition); (uncountable) day (part of a day which one spends at work, school, etc.); (uncountable, figurative) day (specified time or period, considered with reference to the prominence or success (in life or in an an argument or conflict) of a person or thing); (countable, dated, now found chiefly in compounds such as Bundestag, Reichstag, Landtag, Sudetendeutscher Tag or Tag der Oberschlesier) convention, congress (formal assembly); see Tage for plural-only senses"
ganzen,ganzen; inflection of ganz:
klein,"klein (strong nominative masculine singular kleiner, comparative kleiner, superlative am kleinsten); small, little, tiny, wee, small-scale; little, young (in age); insignificant"
den,den (definite); inflection of der (“the”):
Frau,"Frau f (genitive Frau, plural Frauen, diminutive Fräulein n or Frauchen n); woman (adult female human); wife (married woman, especially in relation to her spouse); a title of courtesy, equivalent to Mrs/Ms, which has nearly replaced Fräulein in the function of Miss; madam (polite form of address for a woman or lady); lady; noblewoman (woman of breeding or higher class)"
nun,"nun; now, at this moment; now, then; expressing a logical or temporal consequence; unstressed and expletive, used for minor emphasis"
etwas,etwas; something
Kind,"Kind n (strong, genitive Kindes or Kinds, plural Kinder, diminutive Kindchen n or Kindlein n); kid; child (young person); child; offspring (person with regard to his or her parents; also a baby animal or young animal, especially as the second component in numerous compound nouns)"
Aspekt,"Aspekt m (strong, genitive Aspektes or Aspekts, plural Aspekte); aspect"
Mensch,"Mensch m (weak, genitive Menschen, plural Menschen, diminutive Menschchen n or Menschlein n, feminine Mensch or Menschin); human, human being, man"
bleiben,"bleiben (class 1 strong, third-person singular present bleibt, past tense blieb, past participle geblieben, auxiliary sein); (copulative, with a predicate adjective or predicate nominative) to remain (to continue to be); (intransitive, + infinitive) to keep (on); to continue (see usage notes below); (intransitive) to stay; to remain in a place; (intransitive) to be; to be stuck; implying tardiness; (intransitive, + dative) to be left for someone; (intransitive, + bei) to stick with; to stay with"
nein,nein; no
weit,"weit (strong nominative masculine singular weiter, comparative weiter, superlative am weitesten); wide; large; far, distant (of the past or future); Denotes a certain point in time or in some process or schedule, or a certain stage of development."
heute,heute; today
hoch,"hoch (strong nominative masculine singular hoher, comparative höher, superlative am höchsten); high, tall; high, great, immense; grand, important"
erst,"erst; first, at first; only (with progress, accomplishments or the present time); not until, not for, not before (with reference to a point or period of time in the future); only, as recently as (with reference to the past); Short for erstmal.; (Switzerland) Synonym of zumal"
einmal,"einmal; once, one time (one and only one time); once (formerly; during some period in the past); sometime (at an indefinite but stated time in the past or future); first of all, for starters, firstly (as an initial point; before any other considerations)"
nehmen,"nehmen (class 4 strong, third-person singular present nimmt, past tense nahm, past participle genommen, past subjunctive nähme, auxiliary haben); (transitive) to take (something into one's possession or on one's body); (ditransitive) to take from; (transitive) to hold (in one's hands), to grasp; (transitive) to take, to consider (a statement, a situation, an idea, etc, in a certain way, for example seriously, badly, personally); (transitive) to capture, to arrest; (transitive) to ingest (e.g. a pill); (transitive) to move into, to sit at (one's assigned position); (transitive, with dative reflexive pronoun) to use (time, effort, etc. for a specific purpose); (transitive, with certain nouns) To begin or cause the action implied by a noun to take place, possibly making the sentence more passive or indirect.; (reflexive) to cause oneself to be (in some state); to become; to take oneself (to some state); (transitive) to seize, to capture; (transitive) to receive, to accept; (transitive, sports) to foul"
dabei,"dabei; pronominal adverb of bei (replaces bei + demonstrative or personal pronoun, unless referring to people); with one, on one; (when) indeed, (but) actually (expressing a contradiction); in the process of (followed by an infinitive clause); thereby, thus"
beide,beide; both; (the) two
eben,"eben (strong nominative masculine singular ebener or ebner, comparative ebener or ebner, superlative am ebensten); flat, smooth, even (of a surface)"
Mann,"Mann m (strong or mixed, genitive Mannes or Manns, plural Männer or (sometimes after numerals) Mann or (rare or poetic) Mannen, diminutive Männchen n or Männlein n or Männle n or Mannli n or Männeken n or Mandl n or Manderl n, feminine Männin); man, male human being; husband"
mal,"mal; times (indicating multiplication of two numbers); (informal) Alternative form of einmal (“sometime, ever, once”), may serve to introduce a new information.; (informal) Softening a sentence, thus making a request or command more polite. By extension, indicating a command or request."
heißen,"heißen (class 7 strong, third-person singular present heißt, past tense hieß, past participle geheißen, auxiliary haben); (copulative) to have a name; to be named; to be called; but implying that one “owns” this name, not necessarily that one goes by it; (intransitive or transitive) to mean, to signify; to have a meaning; (impersonal) to say, to be said; to go, run (like); (transitive, archaic except in fixed expressions) to call (someone something); (transitive, archaic) to order, to direct, to call to do something"
natürlich,"natürlich (strong nominative masculine singular natürlicher, comparative natürlicher, superlative am natürlichsten); natural, normal"
einfach,"einfach (strong nominative masculine singular einfacher, comparative einfacher, superlative am einfachsten); easy; simple, plain, straightforward; single; one-way; easy-to-use"
liegen,"liegen (class 5 strong, third-person singular present liegt, past tense lag, past participle gelegen, past subjunctive läge, auxiliary haben or sein); (intransitive) to lie (to be in a horizontal position); (intransitive) to be, to lie somewhere (of flat objects, also of inpatients in a hospital; otherwise use sitzen or stehen); (intransitive) to be located, to lie somewhere (of countries, towns, houses, etc.); (intransitive) to be, to stand (of indices, measurements)"
dort,"dort; there, yonder"
vielleicht,"vielleicht; perhaps, maybe; frequently replaces bitte (“please”) in polite questions; (colloquial) expresses amazement or excitement, particularly at something negative"
heißt,heißt; inflection of heißen:
denken,"denken (irregular weak, third-person singular present denkt, past tense dachte, past participle gedacht, past subjunctive dächte, auxiliary haben); (intransitive, [an (about) + accusative], rarely transitive) to think; (intransitive, with an + accusative) not to forget; to remember (to bring along, etc.); (transitive, with reflexive dative) to imagine; (transitive, with reflexive dative) to think, to believe, to assume, to conjecture"
genannt,"genannt (strong nominative masculine singular genannter, not comparable); called, mentioned, named"
Haus,"Haus n (strong, genitive Hauses, plural Häuser, diminutive Häuschen n or Häuslein n or Häuselein n or Häusle n or Häusel n or Häus'l n or Häusl n or Häusli n or Häuslin n or (rare) Häuselin n or Häuserl n or Hauserl n or (also Ruhrdeutsch) Häusken n or (also Berlinisch) Häuseken n or (esp. 18th ct.) Häusgen n or Häusche n); house; home (in various phrases); theatre"
Frage,"Frage f (genitive Frage, plural Fragen); question (interrogative sentence or phrase) [+ an (object) = for]; question, issue (subject or topic for consideration or investigation); question, doubt (challenge about the truth or accuracy of a matter)"
halten,"halten (class 7 strong, third-person singular present hält, past tense hielt, past participle gehalten, auxiliary haben); (transitive) to hold; (transitive) to stop; to halt; to hold back; (transitive) to support; to hold up; (transitive) to keep; to maintain; to hold; (transitive, of animals) to keep; (intransitive) to hold; to keep; to stay; (intransitive) to stop; (transitive) to take for, to consider  [+ für (object)]; (reflexive) to adhere to, to follow (rules, the law, etc.) [+ an (object)]; (with preposition: von) expresses a positive or negative opinion depending on quantity; (transitive) to give (a presentation, lecture etc.)"
möglichst,möglichst; as much as possible; preferably
gleich,"gleich (strong nominative masculine singular gleicher, comparative gleicher, superlative am gleichsten); equal; same; very similar; (often proscribed) same; identical"
möglich,"möglich (strong nominative masculine singular möglicher, comparative möglicher, superlative am möglichsten); (chiefly predicative) possible (what can be done or achieved); potential; likely; (colloquial, idiomatic, with alle, alles) a whole bunch of; a great deal of; a lot of; many"
Frage,"Frage f (genitive Frage, plural Fragen); question (interrogative sentence or phrase) [+ an (object) = for]; question, issue (subject or topic for consideration or investigation); question, doubt (challenge about the truth or accuracy of a matter)"
nennen,"nennen (irregular weak, third-person singular present nennt, past tense nannte, past participle genannt, past subjunctive nennte, auxiliary haben); (transitive) to name (to give a name to); (transitive, with (accusative when applicable) predicate) to call, to describe as (some name, title or description); (ditransitive) to mention, to make known, to tell, to give (some piece of information); (transitive) to say, to speak, to state (a name); (transitive) to call out; to give (e.g. some request); (reflexive) to be called; to be named; to go by some name"
tun,"tun (irregular, third-person singular present tut, past tense tat, past participle getan, past subjunctive täte, auxiliary haben); To do (to perform or execute an action).; (with dative) To do something (positive or negative) to someone.; (reflexive, with an indefinite pronoun) To make a difference; to be different.; (somewhat informal, with “so” or “als ob”) To fake; to feign; to pretend.; (chiefly colloquial) To put, to place, to add.; (chiefly colloquial, with “es”) To work, to function.; (chiefly colloquial, but acceptable in writing) Used with the preceding infinitive of another verb to emphasise this verb; (colloquial, nonstandard) Used with the following infinitive of another verb, often to emphasise the statement; (colloquial, nonstandard) Used in the past subjunctive with the infinitive of another verb to form the conditional tense (instead of standard würde)"
sprechen,"sprechen (class 4 strong, third-person singular present spricht, past tense sprach, past participle gesprochen, past subjunctive spräche, auxiliary haben); (transitive) to speak (some language, the truth, etc.); (intransitive, [über (about) + accusative], [aus (from)]) to speak, to talk, to give a speech; (transitive) to say, to speak (a word, phrase, sentence, prayer, etc.); (reflexive, of a word) to have a pronunciation; to be pronounced (some way); (transitive) to pronounce (a judgment, a verdict, etc.); (transitive, literary, poetic) to say (something); (Switzerland, transitive, officialese) to grant, approve (a loan, funding, etc.)"
Land,"Land n (strong, genitive Landes or Lands, plural Länder or (elevated or poetic) Lande, diminutive Ländchen n or Ländlein n); country (territory of a nation); state, province (political division of a federation retaining a notable degree of autonomy); land (real estate or landed property); land (part of Earth which is not covered by oceans or other bodies of water); country, countryside (rural area, as opposed to a town or city)"
glauben,"glauben (weak, third-person singular present glaubt, past tense glaubte, past participle geglaubt, auxiliary haben); (transitive) to believe something (consider true); (intransitive, with an + accusative) to believe in (think something exists, or have confidence in someone’s ability); (transitive or intransitive, with dative object) to believe someone (trust in their statement); (intransitive, with coordinate clause, dass clause, or zu + infinitive) to think, to believe"
führen,"führen (weak, third-person singular present führt, past tense führte, past participle geführt, auxiliary haben); (transitive) to lead; (transitive, formal) to carry, to sell; (transitive) to conduct some activity or process, to hold (a discussion, a negotiation), to have (a conversation), to lead (one's life), to wage (a war or campaign), to fight (a war); (transitive) to wield (a weapon); (reflexive) to behave oneself, to conduct oneself (of prisoner, student or other person under supervision); (intransitive) (of an athlete or sports team) to be in the lead"
dazu,"dazu; in addition to it, in addition, besides; for that purpose; to it, to that"
solch,solch (demonstrative); (demonstrative) such
die,die (definite); nominative/accusative singular feminine of der; nominative/accusative plural of der
zeigen,"zeigen (weak, third-person singular present zeigt, past tense zeigte, past participle gezeigt, auxiliary haben); to show, make see; (reflexive) to appear, become apparent, come out, turn out, show up, to be manifested"
mögen,"mögen (preterite-present, third-person singular present mag, past tense mochte, past participle gemocht, past subjunctive möchte, auxiliary haben); (transitive) to like (something or someone); (intransitive) to want to go; (auxiliary, with infinitive) may (expresses a possibility with uncertainty with a degree of admission of the statement); (auxiliary, in negation, with infinitive) to be hesitant to (do something); (auxiliary, in the present subjunctive, with infinitive) may (paraphrases the optative).; (transitive, in the past subjunctive) to want; would like (to have or to do something); (auxiliary, in the past subjunctive, with infinitive) to want to; would like to; to wish to (do something); (obsolete, auxiliary, with infinitive) to be able to, may, can"
gar,"gar (strong nominative masculine singular garer, not comparable); cooked, done (of food such as meat or vegetables: ready for consumption); (of a metal) refined"
nicht,"nicht; not, non- (negates the meaning of a verb, adjective, or adverb)"
dürfen,"dürfen (preterite-present, third-person singular present darf, past tense durfte, past participle gedurft, past subjunctive dürfte, auxiliary haben); (auxiliary, infinitive replaces past participle) to be allowed (to do something); to be permitted (to do something); may; (intransitive or transitive, past participle as above) to be allowed or permitted to do something implied or previously stated; may; (subjunctive ii, auxiliary) Expresses a prediction with mild doubt, that something is estimated or probable.; (colloquial) to must, to have to; (obsolete, transitive, with genitive) to need, to require"
letzt,letzt; inflection of letzen:
spät,"spät (strong nominative masculine singular später, comparative später, superlative am spätesten); late"
später,später; comparative degree of spät; later
