Word,Definitions
dumpf,"dumpf (strong nominative masculine singular dumpfer, comparative dumpfer, superlative am dumpfesten); dull; hollow, muffled, dead (sound); vague; musty, stifling (atmosphere); nagging (pain)"
gestrig,"gestrig (strong nominative masculine singular gestriger, not comparable); of yesterday, yesterday's"
unmittelbar,"unmittelbar (strong nominative masculine singular unmittelbarer, comparative unmittelbarer, superlative am unmittelbarsten); immediate, direct"
impulsiv,"impulsiv (strong nominative masculine singular impulsiver, comparative impulsiver, superlative am impulsivsten); impulsive"
brandneu,"brandneu (strong nominative masculine singular brandneuer, comparative (very rare) brandneuer, superlative am brandneuesten or am brandneusten); (colloquial) brand new"
divers,"divers (strong nominative masculine singular diverser, comparative diverser, superlative am diversesten); (in the plural) different, various, miscellaneous (a certain number of different items); (formal) diverse, varying (showing great variety); (neologism) diverse (of a society or group: showing variety in terms of ethnicity, language, religious affiliation, sexual orientation, etc.); (neologism, officialese) non-binary, intersex (belonging to any category of gender that is neither male nor female)"
fruchtbar,"fruchtbar (strong nominative masculine singular fruchtbarer, comparative fruchtbarer, superlative am fruchtbarsten); fertile; fruitful, prolific"
gutaussehend,"gutaussehend (strong nominative masculine singular gutaussehender, not comparable); good-looking, handsome, attractive"
haargenau,"haargenau (strong nominative masculine singular haargenauer, not comparable); meticulous; very exact"
authentisch,"authentisch (strong nominative masculine singular authentischer, comparative authentischer, superlative am authentischsten); authentic"
stramm,"stramm (strong nominative masculine singular strammer, comparative strammer, superlative am strammsten); tight; taut (tightly fastened); upright (standing tall, as of a soldier); upright; stalwart; staunch; strict; rigorous; (somewhat informal) stalwart; burly; muscular; (colloquial) drunk"
durr,durr; Alternative form of duh (“indicating stupidity etc.”)
intim,"intim (strong nominative masculine singular intimer, comparative intimer, superlative am intimsten); intimate"
schmeichelhaft,"schmeichelhaft (strong nominative masculine singular schmeichelhafter, comparative schmeichelhafter, superlative am schmeichelhaftesten); flattering"
makellos,"makellos (strong nominative masculine singular makelloser, comparative makelloser, superlative am makellosesten); flawless, immaculate"
erhaben,"erhaben (strong nominative masculine singular erhabener, comparative erhabener, superlative am erhabensten); sublime, exalted, elevated, lordly; unassailable, above (something); embossed, relief"
uralt,"uralt (strong nominative masculine singular uralter, not comparable); very old, ancient"
sparsam,"sparsam (strong nominative masculine singular sparsamer, comparative sparsamer, superlative am sparsamsten); economical, thrifty, frugal"
unterirdisch,"unterirdisch (strong nominative masculine singular unterirdischer, not comparable); underground, subterranean; (figurative, informal) abysmal (extremely bad; terrible)"
heikel,"heikel (strong nominative masculine singular heikler or (extremely rare) heikeler, comparative heikler or (extremely rare) heikeler, superlative am heikelsten); delicate (requiring careful handling); (Austria) picky, choosy"
lieblich,"lieblich (strong nominative masculine singular lieblicher, comparative lieblicher, superlative am lieblichsten); (wine) sweet; (dated, humorous or poetic) charming; adorable; lovely (of a person, usually female and/or a child); (dated, humorous or poetic) lovely; wonderful"
knallhart,"knallhart (strong nominative masculine singular knallharter, not comparable); tough (all senses)"
unbezahlbar,"unbezahlbar (strong nominative masculine singular unbezahlbarer, not comparable); priceless"
vorderer,"vorderer (no predicative form, strong nominative masculine singular vorderer, strong comparative nominative masculine singular (very rare, vernacular only) vordererer, strong superlative nominative masculine singular (standard) vorderster); front, fore"
inakzeptabel,"inakzeptabel (strong nominative masculine singular inakzeptabler, comparative inakzeptabler, superlative am inakzeptabelsten); unacceptable"
unterhaltsam,"unterhaltsam (strong nominative masculine singular unterhaltsamer, comparative unterhaltsamer, superlative am unterhaltsamsten); amusing; entertaining; enjoyable"
bizarr,"bizarr (strong nominative masculine singular bizarrer, comparative bizarrer, superlative am bizarrsten); bizarre"
liebenswert,"liebenswert (strong nominative masculine singular liebenswerter, comparative liebenswerter, superlative am liebenswertesten); likable, amiable"
aussichtslos,"aussichtslos (strong nominative masculine singular aussichtsloser, comparative aussichtsloser, superlative am aussichtslosesten); desperate, hopeless, forlorn"
uninteressant,"uninteressant (strong nominative masculine singular uninteressanter, comparative uninteressanter, superlative am uninteressantesten); uninteresting"
gelehrt,"gelehrt (strong nominative masculine singular gelehrter, comparative gelehrter, superlative am gelehrtesten); learned, scholarly"
Genfer,"Genfer m (strong, genitive Genfers, plural Genfer, feminine Genferin); Genevan"
unehrlich,"unehrlich (strong nominative masculine singular unehrlicher, comparative unehrlicher, superlative am unehrlichsten); dishonest"
stehend,"stehend (strong nominative masculine singular stehender, not comparable); standing, waiting; stationary; stagnant"
unreif,"unreif (strong nominative masculine singular unreifer, comparative unreifer, superlative am unreifsten); unripe; immature"
ledig,"ledig (strong nominative masculine singular lediger, comparative lediger, superlative am ledigsten); unmarried; (dated, literary, + genitive) free (of); rid (of); (archaic, of a child) born out of wedlock; (archaic, dialectal) empty"
ungeheuerlich,"ungeheuerlich (strong nominative masculine singular ungeheuerlicher, comparative ungeheuerlicher, superlative am ungeheuerlichsten); monstrous (hideous or frightful)"
erfolglos,"erfolglos (strong nominative masculine singular erfolgloser, comparative erfolgloser, superlative am erfolglosesten); unsuccessful"
grandios,"grandios (strong nominative masculine singular grandioser, comparative grandioser, superlative am grandiosesten); grandiose"
smart,"smart (strong nominative masculine singular smarter, comparative smarter, superlative am smartesten); smart (exhibiting social ability or cleverness); smart (good-looking, well-dressed)"
kugelsicher,"kugelsicher (strong nominative masculine singular kugelsicherer, not comparable); bulletproof"
unbrauchbar,"unbrauchbar (strong nominative masculine singular unbrauchbarer, comparative unbrauchbarer, superlative am unbrauchbarsten); useless; unusable; unsuitable"
impotent,"impotent (strong nominative masculine singular impotenter, comparative impotenter, superlative am impotentesten); impotent"
verschollen,"verschollen (strong nominative masculine singular verschollener, not comparable); missing, lost; (law) declared dead in absentia, presumed dead"
parat,"parat (strong nominative masculine singular parater, not comparable); at hand; ready"
selbstsicher,"selbstsicher (strong nominative masculine singular selbstsicherer, comparative selbstsicherer or selbstsichrer, superlative am selbstsichersten); self-confident"
verschwitzt,verschwitzt; inflection of verschwitzen:
verwundbar,"verwundbar (strong nominative masculine singular verwundbarer, comparative verwundbarer, superlative am verwundbarsten); vulnerable"
allererster,allererster; inflection of allererste:
durchsichtig,"durchsichtig (strong nominative masculine singular durchsichtiger, comparative durchsichtiger, superlative am durchsichtigsten); transparent, translucent, sheer"
unerfahren,"unerfahren (strong nominative masculine singular unerfahrener, comparative unerfahrener, superlative am unerfahrensten); inexperienced, green"
sarkastisch,"sarkastisch (strong nominative masculine singular sarkastischer, comparative sarkastischer, superlative am sarkastischsten); sarcastic"
leitend,"leitend (strong nominative masculine singular leitender, not comparable); leading, senior, executive; conducting, conductive"
schrill,"schrill (strong nominative masculine singular schriller, comparative schriller, superlative am schrillsten); shrill"
kitschig,"kitschig (strong nominative masculine singular kitschiger, comparative kitschiger, superlative am kitschigsten); kitschy, corny"
gell,"gell (strong nominative masculine singular geller, comparative geller, superlative am gellsten); (literary) shrill"
feindselig,"feindselig (strong nominative masculine singular feindseliger, comparative feindseliger, superlative am feindseligsten); hostile, unfriendly"
schwungvoll,"schwungvoll (strong nominative masculine singular schwungvoller, comparative schwungvoller, superlative am schwungvollsten); jaunty, lively"
windig,"windig (strong nominative masculine singular windiger, comparative windiger, superlative am windigsten); windy; (figurative, informal, of a person or undertaking) dodgy; dubious"
wohlhabend,"wohlhabend (strong nominative masculine singular wohlhabender, comparative wohlhabender, superlative am wohlhabendsten); wealthy, rich"
irrsinnig,"irrsinnig (strong nominative masculine singular irrsinniger, comparative irrsinniger, superlative am irrsinnigsten); insane, mad; (colloquial) mind-boggling"
unzertrennlich,"unzertrennlich (strong nominative masculine singular unzertrennlicher, comparative unzertrennlicher, superlative am unzertrennlichsten); inseparable"
kubanisch,"kubanisch (strong nominative masculine singular kubanischer, not comparable); (relational) of Cuba; Cuban"
hektisch,"hektisch (strong nominative masculine singular hektischer, comparative hektischer, superlative am hektischsten); hectic"
landesweit,"landesweit (strong nominative masculine singular landesweiter, not comparable); nationwide, national; (referring to Germany and Austria often) statewide, on the level of Bundesland"
hocherfreut,"hocherfreut (not comparable); overjoyed, delighted"
ekelig,"ekelig (strong nominative masculine singular ekeliger, comparative ekeliger, superlative am ekeligsten); Alternative form of eklig"
unwissend,"unwissend (strong nominative masculine singular unwissender, comparative unwissender, superlative am unwissendsten); unaware, ignorant, unknowing, unsuspecting; inexperienced"
kanadisch,"kanadisch (strong nominative masculine singular kanadischer, not comparable); (relational) Canadian"
anspruchsvoll,"anspruchsvoll (strong nominative masculine singular anspruchsvoller, comparative anspruchsvoller, superlative am anspruchsvollsten); sophisticated, fastidious; demanding, ambitious, challenging"
bevorstehend,"bevorstehend (strong nominative masculine singular bevorstehender, not comparable); imminent, impending; approaching, upcoming, forthcoming; pending"
morgiger,morgiger; inflection of morgig:
leuchtend,"leuchtend (strong nominative masculine singular leuchtender, comparative leuchtender, superlative am leuchtendsten); luminous; vibrant (of a colour); glowing, bright"
brenzlig,"brenzlig (strong nominative masculine singular brenzliger, comparative brenzliger, superlative am brenzligsten); (dated) smelling of combusted or burnt materials; (by extension) ticklish, dangerous, unsettling"
ausgeglichen,"ausgeglichen (strong nominative masculine singular ausgeglichener or (rare) ausgeglichner, comparative ausgeglichener or (rare) ausgeglichner, superlative am ausgeglichensten); balanced"
wirr,"wirr (strong nominative masculine singular wirrer, comparative wirrer, superlative am wirrsten or am wirresten); confused, disorderly, chaotic; muddled, confused, incoherent (of thoughts, speech, mental state, etc.)"
kleinlich,"kleinlich (strong nominative masculine singular kleinlicher, comparative kleinlicher, superlative am kleinlichsten); petty, small-minded"
zerfallen,"zerfallen (class 7 strong, third-person singular present zerfällt, past tense zerfiel, past participle zerfallen, auxiliary sein); to disintegrate; (physics) to decay"
wasserdicht,"wasserdicht (strong nominative masculine singular wasserdichter, comparative wasserdichter, superlative am wasserdichtesten); watertight, waterproof; (colloquial) ironclad, incontestable, solid (impossible to contradict or weaken)"
undicht,"undicht (strong nominative masculine singular undichter, comparative undichter, superlative am undichtesten); leaky, not watertight"
ehrenvoll,"ehrenvoll (strong nominative masculine singular ehrenvoller, comparative ehrenvoller, superlative am ehrenvollsten); honourable"
furchterregend,"furchterregend (strong nominative masculine singular furchterregender, comparative furchterregender, superlative am furchterregendsten); terrifying"
zickig,"zickig (strong nominative masculine singular zickiger, comparative zickiger, superlative am zickigsten); bitchy"
katastrophal,"katastrophal (strong nominative masculine singular katastrophaler, comparative katastrophaler, superlative am katastrophalsten); catastrophic (disastrous; ruinous)"
salzig,"salzig (strong nominative masculine singular salziger, comparative salziger, superlative am salzigsten); briny, salty"
ungerade,"ungerade (strong nominative masculine singular ungerader, not comparable); odd (not divisible by two); uneven"
kerngesund,"kerngesund (strong nominative masculine singular kerngesunder, not comparable); very healthy, fit as a fiddle"
rassistisch,"rassistisch (strong nominative masculine singular rassistischer, comparative rassistischer, superlative am rassistischsten); racist"
gottlos,"gottlos (strong nominative masculine singular gottloser, comparative gottloser, superlative am gottlosesten); godless; atheist; not professing faith in God; (derogatory) evil; ungodly; diabolic; reprobate"
versessen,"versessen (strong nominative masculine singular versessener, not comparable); crazy; fanatic, closeminded; stubborn, immovably set in an opinion"
sitzend,"sitzend (strong nominative masculine singular sitzender, not comparable); sitting, seated; sedentary"
kraftvoll,"kraftvoll (strong nominative masculine singular kraftvoller, comparative kraftvoller, superlative am kraftvollsten); powerful, vigorous"
berechtigt,"berechtigt (strong nominative masculine singular berechtigter, comparative berechtigter, superlative am berechtigtsten); entitled, eligible; authorized; justified"
hellwach,"hellwach (strong nominative masculine singular hellwacher, not comparable); wide awake"
vorstellbar,"vorstellbar (strong nominative masculine singular vorstellbarer, not comparable); imaginable"
umfassend,"umfassend (strong nominative masculine singular umfassender, comparative umfassender, superlative am umfassendsten); comprehensive"
knusprig,"knusprig (strong nominative masculine singular knuspriger, comparative knuspriger, superlative am knusprigsten); crispy, crisp, crunchy; (colloquial, humorous, usually with noch or nicht mehr) in one's right mind; of full mental capacity"
adlig,"adlig (strong nominative masculine singular adliger, comparative adliger, superlative am adligsten); highborn, noble (of noble ancestry); (relational) nobility"
lateinisch,"lateinisch (strong nominative masculine singular lateinischer, not comparable); (relational) Latin (of or pertaining to the Latin language); (relational) Latin (of or pertaining to the Latin script); (Switzerland, relational) Latin, Romance (of or pertaining to any speaker of a Romance language, e.g. the French, Italian, Romansh, Spanish or Portuguese peoples)"
metallisch,"metallisch (strong nominative masculine singular metallischer, not comparable); metallic"
geistreich,"geistreich (strong nominative masculine singular geistreicher, comparative geistreicher, superlative am geistreichsten); witty"
verschlossen,"verschlossen (strong nominative masculine singular verschlossener, comparative verschlossener, superlative am verschlossensten); locked; uncommunicative, withdrawn"
verkommen,"verkommen (class 4 strong, third-person singular present verkommt, past tense verkam, past participle verkommen, past subjunctive verkäme, auxiliary sein); to go bad, to decay"
eigensinnig,"eigensinnig (strong nominative masculine singular eigensinniger, comparative eigensinniger, superlative am eigensinnigsten); self-willed, stubborn, defiant"
vielerlei,vielerlei (indeclinable); in great number and of many types
unbequem,"unbequem (strong nominative masculine singular unbequemer, comparative unbequemer, superlative am unbequemsten); uncomfortable, inconvenient"
lebenswert,"lebenswert (strong nominative masculine singular lebenswerter, comparative lebenswerter, superlative am lebenswertesten); worth living"
entbehrlich,"entbehrlich (strong nominative masculine singular entbehrlicher, comparative entbehrlicher, superlative am entbehrlichsten); dispensable, superfluous, unnecessary"
zunehmend,"zunehmend (strong nominative masculine singular zunehmender, not comparable); increasing, growing, mounting"
offensiv,"offensiv (strong nominative masculine singular offensiver, comparative offensiver, superlative am offensivsten); offensive, attacking, aggressive (but not in the sense of “insulting”); assertive, forthright, active, direct"
beieinander,beieinander; together
obendrein,"obendrein; besides, additionally, also"
insgeheim,"insgeheim; secretly, in private"
homosexuell,"homosexuell (strong nominative masculine singular homosexueller, not comparable); homosexual"
unangebracht,"unangebracht (strong nominative masculine singular unangebrachter, comparative unangebrachter, superlative am unangebrachtesten); inappropriate, unseemly"
untereinander,untereinander; among ourselves / themselves; one under the other
ausnahmsweise,ausnahmsweise; exceptionally; as an exception
ununterbrochen,"ununterbrochen (strong nominative masculine singular ununterbrochener, not comparable); continuous, uninterrupted, incessant"
beisammen,beisammen; together
andersrum,"andersrum; (colloquial) the other way round, in a reverse position, order or orientation"
beunruhigend,"beunruhigend (strong nominative masculine singular beunruhigender, comparative beunruhigender, superlative am beunruhigendsten); worrying, disconcerting"
allemal,"allemal; at any rate, at all events, by far; (formal, poetic) always; (old spelling) all times, each time, every time"
dummerweise,"dummerweise; unfortunately, stupidly"
bewundernswert,"bewundernswert (strong nominative masculine singular bewundernswerter, comparative bewundernswerter, superlative am bewundernswertesten); admirable"
aufdringlich,"aufdringlich (strong nominative masculine singular aufdringlicher, comparative aufdringlicher, superlative am aufdringlichsten); intrusive, pushy, obtrusive, brash, meddlesome"
halbwegs,"halbwegs; halfway; reasonable, partly, partway"
nachhause,nachhause; Alternative spelling of nach Hause
glorreich,"glorreich (strong nominative masculine singular glorreicher, comparative glorreicher, superlative am glorreichsten); glorious; illustrious"
empor,"empor; (formal, dated outside of compounds) up, upward"
sagenhaft,"sagenhaft (strong nominative masculine singular sagenhafter, comparative sagenhafter, superlative am sagenhaftesten); legendary, mythical (of or pertaining to a legend (myth) or saga); mythical, storied (known chiefly through stories, and hence perhaps of dubious reality); (colloquial) fabulous, terrific, awesome, incredible; (colloquial) incredibly large or great"
augenblicklich,"augenblicklich (strong nominative masculine singular augenblicklicher, not comparable); immediate; present"
haufenweise,"haufenweise; in heaps, in piles, heaps of, piles of; by the score, in large numbers, abundance of, plenty of"
rings,rings; around
tags,tags; in the daytime
strahlend,"strahlend (strong nominative masculine singular strahlender, comparative strahlender, superlative am strahlendsten); shining; radiant"
verwundbar,"verwundbar (strong nominative masculine singular verwundbarer, comparative verwundbarer, superlative am verwundbarsten); vulnerable"
panisch,"panisch (strong nominative masculine singular panischer, comparative panischer, superlative am panischsten); panic-inducing or panic-induced; in a panicked way"
zweifelsohne,zweifelsohne; undoubtedly
eindrucksvoll,"eindrucksvoll (strong nominative masculine singular eindrucksvoller, comparative eindrucksvoller, superlative am eindrucksvollsten); impressive"
nunmehr,"nunmehr; as from now, henceforth"
hoffnungsvoll,"hoffnungsvoll (strong nominative masculine singular hoffnungsvoller, comparative hoffnungsvoller, superlative am hoffnungsvollsten); hopeful"
hundertprozentig,"hundertprozentig (strong nominative masculine singular hundertprozentiger, not comparable); hundred-percent"
bestenfalls,bestenfalls; at best
zuallererst,zuallererst; first of all
bergauf,bergauf; uphill
zwischendurch,"zwischendurch; between times, in between (during some period of time, dividing it into intervals); in the meanwhile, interim (during an intermediate period); now and then, on the side (occasionally when there is time to spare); (rare) in between, right in/through the middle"
durchsichtig,"durchsichtig (strong nominative masculine singular durchsichtiger, comparative durchsichtiger, superlative am durchsichtigsten); transparent, translucent, sheer"
gewandt,"gewandt (strong nominative masculine singular gewandter, comparative gewandter, superlative am gewandtesten); dexterous, versatile, skilled, smart; eloquent"
unwiderstehlich,"unwiderstehlich (strong nominative masculine singular unwiderstehlicher, comparative unwiderstehlicher, superlative am unwiderstehlichsten); irresistible"
paarmal,paarmal; a few times
notfalls,notfalls; if necessary; in case of emergency
seltsamerweise,"seltsamerweise; strangely enough, curiously enough, oddly enough"
woandershin,"woandershin; elsewhere, somewhere else"
unordentlich,"unordentlich (strong nominative masculine singular unordentlicher, comparative unordentlicher, superlative am unordentlichsten); untidy (sloppy)"
freundlicherweise,freundlicherweise; kindly
sonnig,"sonnig (strong nominative masculine singular sonniger, comparative sonniger, superlative am sonnigsten); sunny"
unbeschreiblich,"unbeschreiblich (strong nominative masculine singular unbeschreiblicher, comparative unbeschreiblicher, superlative am unbeschreiblichsten); indescribable, indefinable; (intensifier) incredible"
entzwei,"entzwei (strong nominative masculine singular entzweier, not comparable); halved, divided (in two); broken"
unklug,"unklug (strong nominative masculine singular unkluger, comparative unklüger, superlative am unklügsten); unwise"
hilfsbereit,"hilfsbereit (strong nominative masculine singular hilfsbereiter, comparative hilfsbereiter, superlative am hilfsbereitesten); helpful"
zunehmend,"zunehmend (strong nominative masculine singular zunehmender, not comparable); increasing, growing, mounting"
kommerziell,"kommerziell (strong nominative masculine singular kommerzieller, comparative kommerzieller, superlative am kommerziellsten); commercial"
jeher,jeher; always (with seit or von)
hierauf,"hierauf; (on) here, on this; (figurative) after this, hereupon"
anderweitig,"anderweitig (strong nominative masculine singular anderweitiger, not comparable); other; elsewhere; with someone else"
viertens,viertens; fourthly
soundso,soundso; (informal) so many (placeholder denoting unspecified quantity)
zuweilen,"zuweilen; (formal) sometimes, occasionally, from time to time"
prachtvoll,"prachtvoll (strong nominative masculine singular prachtvoller, comparative prachtvoller, superlative am prachtvollsten); resplendent, gorgeous"
fortan,fortan; henceforth
belanglos,"belanglos (strong nominative masculine singular belangloser, comparative belangloser, superlative am belanglosesten); trivial; insignificant"
scharfsinnig,"scharfsinnig (strong nominative masculine singular scharfsinniger, comparative scharfsinniger, superlative am scharfsinnigsten); sharp-witted, astute"
Waschmaschine,"Waschmaschine f (genitive Waschmaschine, plural Waschmaschinen); washing machine"
Logo,"Logo m or n (strong, genitive Logos, plural Logos); logo, logotype"
Limit,"Limit n (strong, genitive Limits, plural Limits or Limite); limit (restriction)"
Zusammenbruch,"Zusammenbruch m (strong, genitive Zusammenbruches or Zusammenbruchs, plural Zusammenbrüche); collapse; crash; breakdown"
Makler,"Makler m (strong, genitive Maklers, plural Makler); broker; realtor, estate agent"
Fahndung,"Fahndung f (genitive Fahndung, plural Fahndungen); (law enforcement) search"
Darm,"Darm m (strong, genitive Darmes or Darms, plural Därme); intestine, gut"
Aufschrei,"Aufschrei m (strong, genitive Aufschreis or Aufschreies, plural Aufschreie); outcry; scream, squeal, shriek"
Nippel,"Nippel m (strong, genitive Nippels, plural Nippel); (plumbing) nipple; (colloquial, anatomy) nipple; (colloquial) stud, protrusion; (cycling) Ellipsis of Speichennippel (“spoke nipple”)."
Tyrann,"Tyrann m (weak, genitive Tyrannen, plural Tyrannen, feminine Tyrannin); tyrant; (by extension) bully; (ornithology) tyrant flycatcher"
Vormund,"Vormund m (strong, genitive Vormundes or Vormunds, plural Vormünder or Vormunde); legal guardian"
Pelz,"Pelz m (strong, genitive Pelzes, plural Pelze); (uncountable) fur; fur, animal's pelt; fur (coat or other clothing item made from fur); (rare, slang) furry (member of furry fandom); (heraldry) fur"
Marionette,"Marionette f (genitive Marionette, plural Marionetten); marionette, puppet (puppet which is animated by the pulling of strings); (figurative) puppet (person, country, etc, controlled by another)"
Bestechung,"Bestechung f (genitive Bestechung, plural Bestechungen); bribery; corruption"
Regime,"Regime n (strong, genitive Regimes, plural Regime or (less common) Regimes); (usually derogatory) regime (government)"
Lachs,"Lachs m (strong, genitive Lachses, plural Lachse); salmon, lax/lox; longissimus dorsi (core muscle, long back extensor muscle) of the back of slaughtered animals, especially pigs (Schweinelachs or Lachsfleisch), calves (Kalbslachs), and lambs (Lammlachs); part of the rib or chop cuts."
Schotte,"Schotte m (weak, genitive Schotten, plural Schotten, feminine Schottin); Scot, Scotsman; (Northern Germany) sperling (young herring)"
Eintopf,"Eintopf m (strong, genitive Eintopfes or Eintopfs, plural Eintöpfe); stew (a thick soup stewed in a pot, usually served as a main dish)"
Gratulation,"Gratulation f (genitive Gratulation, plural Gratulationen); congratulation"
Pointe,"Pointe f (genitive Pointe, plural Pointen); point; punchline (final part of a joke, anecdote etc. which makes it funny or relevant)"
Bademantel,"Bademantel m (strong, genitive Bademantels, plural Bademäntel); bathrobe (US), dressing gown (UK)"
Paragraph,"Paragraph m (weak, genitive Paragraphen, plural Paragraphen); (law) article, paragraph (section of a legal document)"
Pickel,"Pickel m (strong, genitive Pickels, plural Pickel); pimple; pickaxe"
Einklang,"Einklang m (strong, genitive Einklanges or Einklangs, plural Einklänge); harmony; conformity, compliance, line, keeping"
Rektor,"Rektor m (mixed, genitive Rektors, plural Rektoren, feminine Rektorin); headmaster, rector of a school or university (male or of unspecified gender)"
Alligator,"Alligator m (mixed, genitive Alligators, plural Alligatoren); alligator (animal)"
Barbier,"Barbier m (strong, genitive Barbiers, plural Barbiere, feminine Barbierin); barber (male or of unspecified gender)"
Stamm,"Stamm m (strong, genitive Stammes or Stamms, plural Stämme); tree trunk, main stem of a plant (but never used of thin stalks or twigs); (ethnography) tribe; (linguistics) stem (of a word); (biology) phylum; (microbiology) strain (of bacteria, etc.)"
Lehrling,"Lehrling m (strong, genitive Lehrlinges or Lehrlings, plural Lehrlinge); apprentice"
Tanne,"Tanne f (genitive Tanne, plural Tannen); fir (genus Abies)"
