Noun,Gender,Plurality
Heiland,m,Heilande
Hemisphäre,f,Hemisphären
Herrenhaus,n,Herrenhäuser
Herzfrequenz,f,Herzfrequenzen
Hilfsmittel,n,Hilfsmittel
Hinblick,m,no plural
Hochachtung,f,no plural
Infusion,f,Infusionen
Inhaber,m,Inhaber
Innenseite,f,Innenseiten
Inserat,n,Inserate
Intimität,f,Intimitäten
Inventar,n,Inventare
Joch,n,Joche
Judentum,n,Judentümer
Jurist,m,Juristen
Kabeljau,m,Kabeljaue
Kaffeepause,f,Kaffeepausen
Kajüte,f,Kajüten
Holzkopf,m,Holzköpfe
Holzschnitt,m,Holzschnitte
Hommage,f,Hommagen
Hufschmied,m,Hufschmiede
Hühnerstall,m,Hühnerställe
Hülse,f,Hülsen
Hungersnot,f,Hungersnöte
Hungerstreik,m,Hungerstreiks
Hustensaft,m,Hustensäfte
Hyäne,f,Hyänen
Hydraulik,f,no plural
Hymne,f,Hymnen
Idealist,m,Idealisten
Ideologie,f,Ideologien
Ignoranz,f,no plural
Immunität,f,Immunitäten
Impfstoff,m,Impfstoffe
Kalbfleisch,n,no plural
Kalzium,n,no plural
Knopfdruck,m,Knopfdrücke
Kanarienvogel,m,Kanarienvögel
Kochtopf,m,Kochtöpfe
Kanonenkugel,f,Kanonenkugeln
Kollaps,m,Kollapse
Kapazität,f,Kapazitäten
Kolonne,f,Kolonnen
Kapitän,m,Kapitäne
Kassierer,m,Kassierer
Kaste,f,Kasten
Komplexität,f,Komplexitäten
Katakombe,f,Katakomben
Kegel,m,Kegel
Keil,m,Keile
Keim,m,Keime
Kennwort,n,Kennwörter
Kettensäge,f,Kettensägen
Keuschheit,f,Keuschheiten
Kinderschänder,m,Kinderschänder
Kiosk,m,Kioske
Kondensator,m,Kondensatoren
Konditorei,f,Konditoreien
Konföderation,f,Konföderationen
Konkurs,m,Konkurse
Konstellation,f,Konstellationen
Konsument,m,Konsumenten
Kirmes,f,Kirmessen
Klausur,f,Klausuren
Klebstoff,m,Klebstoffe
Kleinholz,n,Kleinhölzer
Kloster,n,Klöster
Klotz,m,Klötze
Klugheit,f,Klugheiten
Knast,m,Knäste
Kniescheibe,f,Kniescheiben
Kontext,m,Kontexte
Kontostand,m,Kontostände
Kontrolleur,m,Kontrolleure
Koordination,f,Koordinationen
Kopfverletzung,f,Kopfverletzungen
Korkenzieher,m,Korkenzieher
Körperbau,m,Körperbaue
Kosmetikerin,f,Kosmetikerinnen
Kostüm,n,Kostüme
Krawall,m,Krawalle
Krempel,m,no plural
Leichenwagen,m,Leichenwagen
Kreuzigung,f,Kreuzigungen
Leitartikel,m,Leitartikel
Lektüre,f,Lektüren
Leopard,m,Leoparden
Kriegsschiff,n,Kriegsschiffe
Lerche,f,Lerchen
Kripo,f,Kripos
Leuchtfeuer,n,Leuchtfeuer
Krippe,f,Krippen
Lichtjahr,n,Lichtjahre
Liebchen,n,Liebchen
Kruzifix,n,Kruzifixe
Lilie,f,Lilien
Kult,m,Kulte
Kundgebung,f,Kundgebungen
Lorbeer,m,Lorbeeren
Kurator,m,Kuratoren
Lotion,f,Lotionen
Lotus,m,Lotus
Luftröhre,f,Luftröhren
Kurzform,f,Kurzformen
Luftschacht,m,Luftschächte
Kutte,f,Kutten
Larve,f,Larven
Läuterung,f,Läuterungen
Lavendel,m,Lavendel
Maat,m,Maate
Mädchenname,m,Mädchennamen
Magenschmerz,m,Magenschmerzen
Magister,m,Magister
Magnetfeld,n,Magnetfelder
Makrele,f,Makrelen
Manifest,n,Manifeste
Markenzeichen,n,Markenzeichen
Mittelamerika,n,amerika
Master,m,Master
Möchtegern,m,Möchtegerne
Modul,n,Module
Masturbation,f,Masturbationen
Möhre,f,Möhren
Mätresse,f,Mätressen
Monolog,m,Monologe
Meeresspiegel,m,Meeresspiegel
Morgenrock,m,Morgenröcke
Mentalität,f,Mentalitäten
Merkur,m,
Metier,n,Metiers
Metzgerei,f,Metzgereien
Mietvertrag,m,Mietverträge
Müllhalde,f,Müllhalden
Mündung,f,Mündungen
Münztelefon,n,Münztelefone
Murmeltier,n,Murmeltiere
Mysterium,n,Mysterien
Nabel,m,Nabel
Nachfahre,m,Nachfahren
Nominierung,f,Nominierungen
Nachlass,m,Nachlässe
Normalität,f,no plural
Notbremse,f,Notbremsen
Notlage,f,Notlagen
Näherin,f,Näherinnen
Naivität,f,no plural
Namensschild,n,Namensschilder
Nationalität,f,Nationalitäten
Oase,f,Oasen
Obduktion,f,Obduktionen
Nebenzimmer,n,Nebenzimmer
Obstgarten,m,Obstgärten
Ödland,n,no plural
Nervenkitzel,m,Nervenkitzel
Nervenklinik,f,Nervenkliniken
Ökonomie,f,Ökonomien
Opossum,n,Opossums
Optimist,m,Optimisten
Orgie,f,Orgien
Orientierung,f,Orientierungen
Ortung,f,Ortungen
Ouvertüre,f,Ouvertüren
Paarung,f,Paarungen
Palais,n,Palais
Panther,m,Panther
Parodie,f,Parodien
Parzelle,f,Parzellen
Pastete,f,Pasteten
Patenkind,n,Patenkinder
Pferdeschwanz,m,Pferdeschwänze
Pflaume,f,Pflaumen
Pflug,m,Pflüge
Pförtner,m,Pförtner
Pfosten,m,Pfosten
Plackerei,f,Plackereien
Plakette,f,Plaketten
Platin,n,no plural
Plattenspieler,m,Plattenspieler
Podium,n,Podien
Polka,f,Polkas
Polster,n,Polster
Polyp,m,Polypen
Pomade,f,Pomaden
Popmusik,f,Popmusiken
Popularität,f,no plural
Pore,f,Poren
Portal,n,Portale
Portwein,m,Portweine
Porzellan,n,Porzellane
Prachtkerl,m,Prachtkerle
Präfekt,m,Präfekten
Präsidentschaft,f,Präsidentschaften
Quellcode,m,Quellcodes
Prellung,f,Prellungen
Pressesprecher,m,Pressesprecher
Primat,m,Primaten
Prise,f,Prisen
Rächer,m,Rächer
Privatisierung,f,Privatisierungen
Racker,m,Racker
Raffinerie,f,Raffinerien
Rammbock,m,Rammböcke
Programmierer,m,Programmierer
Rapport,m,Rapporte
Rasierklinge,f,Rasierklingen
Rassismus,m,
Raster,n,Raster
Projektion,f,Projektionen
Projektor,m,Projektoren
Promotion,f,Promotionen
Prothese,f,Prothesen
Rasur,f,Rasuren
Proton,n,Protonen
Provokation,f,Provokationen
Prozession,f,Prozessionen
Pseudonym,n,Pseudonyme
Pulle,f,Pullen
Pulsader,f,Pulsadern
Puma,m,Pumas
Pünktlichkeit,f,no plural
Punktzahl,f,Punktzahlen
Quacksalber,m,Quacksalber
Rattengift,n,Rattengifte
Räumung,f,Räumungen
Raupe,f,Raupen
Redefreiheit,f,no plural
Redewendung,f,Redewendungen
Redner,m,Redner
Referat,n,Referate
Regent,m,Regenten
Register,n,Register
Reim,m,Reime
Rolltreppe,f,Rolltreppen
Reinfall,m,Reinfälle
Rotation,f,Rotationen
Reisepass,m,Reisepässe
Rotznase,f,Rotznasen
Rowdy,m,Rowdys
Rubin,m,Rubine
Rekonstruktion,f,Rekonstruktionen
Renaissance,f,sance
Rückschlag,m,Rückschläge
Rugby,n,no plural
Renovierung,f,Renovierungen
Rentier,n,Rentiere
Rentner,m,Rentner
Repräsentant,m,Repräsentanten
Rumänien,n,en
Rundgang,m,Rundgänge
Revolverheld,m,Revolverhelden
Reservoir,n,Reservoire
Resolution,f,Resolutionen
Rettungsring,m,Rettungsringe
Revolte,f,Revolten
Ringkampf,m,Ringkämpfe
Ritus,m,Riten
Robe,f,Roben
Rüssel,m,Rüssel
Ruß,m,Ruße
Sadist,m,Sadisten
Sägemehl,n,Sägemehle
Sakrileg,n,Sakrilege
Salto,m,Saltos
Samariter,m,Samariter
Sandsturm,m,Sandstürme
Sauberkeit,f,no plural
Sauerkraut,n,no plural
Säugetier,n,Säugetiere
Saustall,m,Sauställe
Schabe,f,Schaben
Schafott,n,Schafotte
Schalldämpfer,m,Schalldämpfer
Schaltkreis,m,Schaltkreise
Schaltung,f,Schaltungen
Schamhaar,n,Schamhaare
Scharfsinn,m,Scharfsinne
Schatz,m,Schätze
Schaukelstuhl,m,Schaukelstühle
Scheideweg,m,Scheidewege
Schienbein,n,Schienbeine
Schießeisen,n,Schießeisen
Schießerei,f,Schießereien
Schießstand,m,Schießstände
Schiffbruch,m,Schiffbrüche
Schilf,n,Schilfe
Schimpfwort,n,Schimpfwörter
Schläfchen,n,Schläfchen
Schlagstock,m,Schlagstöcke
Schlepper,m,Schlepper
Schließung,f,Schließungen
Schluckauf,m,Schluckaufs
Schmeichelei,f,Schmeicheleien
Schnauzbart,m,Schnauzbärte
Schnauze,f,Schnauzen
Schneeball,m,Schneebälle
Schnitzel,m,Schnitzel
Schnupftabak,m,Schnupftabake
Schotter,m,Schotter
Schottland,n,land
Schramme,f,Schrammen
Schreiner,m,Schreiner
Schüchternheit,f,Schüchternheiten
Schürzenjäger,m,Schürzenjäger
Schusswechsel,m,Schusswechsel
Schusswunde,f,Schusswunden
Schwachpunkt,m,Schwachpunkte
Schwachstelle,f,Schwachstellen
Schwan,m,Schwäne
Seitenstraße,f,Seitenstraßen
Sense,f,Sensen
Sensibilität,f,Sensibilitäten
Seriennummer,f,Seriennummern
Signatur,f,Signaturen
Simulator,m,Simulatoren
Skalp,m,Skalpe
Skizze,f,Skizzen
Sohle,f,Sohlen
Schweinestall,m,Schweineställe
Seelenfrieden,m,no plural
Sonett,n,Sonette
Sonnencreme,f,Sonnencremes
Sonnenstich,m,Sonnenstiche
Spule,f,Spulen
Spülung,f,Spülungen
Stabilisator,m,Stabilisatoren
Stabschef,m,Stabschefs
Stachel,m,Stacheln
Stachelschwein,n,Stachelschweine
Stadtrand,m,Stadtränder
Stall,m,Ställe
Stammkunde,m,Stammkunden
Ständchen,n,Ständchen
Standesamt,n,Standesämter
Statur,f,Staturen
Steg,m,Stege
Sterblichkeit,f,no plural
Sternbild,n,Sternbilder
Sternenstaub,m,Sternenstäube
Stickerei,f,Stickereien
Stierkampf,m,Stierkämpfe
Stirnband,n,Stirnbänder
Stöckchen,n,Stöckchen
Spange,f,Spangen
Spaßvogel,m,Spaßvögel
Specht,m,Spechte
Speer,m,Speere
Spektrum,n,Spektren
Sperrstunde,f,Sperrstunden
Spielraum,m,Spielräume
Spielzug,m,Spielzüge
Spontaneität,f,no plural
Sprechstunde,f,Sprechstunden
Sprengsatz,m,Sprengsätze
Springbrunnen,m,Springbrunnen
Spuk,m,Spuke
Stube,f,Stuben
Symphonie,f,Symphonien
Talkshow,f,Talkshows
Tarantel,f,Taranteln
Taschendieb,m,Taschendiebe
Taschenmesser,n,Taschenmesser
Täufer,m,Täufer
Telefonleitung,f,Telefonleitungen
Telepathie,f,no plural
Termite,f,Termiten
Teufelskreis,m,Teufelskreise
Tiefgarage,f,Tiefgaragen
Tippfehler,m,Tippfehler
Tischgebet,n,Tischgebete
Tischler,m,Tischler
Titan,m,Titanen
Todsünde,f,Todsünden
Tollpatsch,m,Tollpatsche
Tonbandgerät,n,Tonbandgeräte
Tonfall,m,Tonfälle
Töpfchen,n,Töpfchen
Torso,m,Torsos
Törtchen,n,Törtchen
Tortur,f,Torturen
Torwart,m,Torwarte
Transit,m,Transite
Trauerfeier,f,Trauerfeiern
Überläufer,m,Überläufer
Trikot,n,Trikots
Trinkgeld,n,Trinkgelder
Trio,n,Trios
Tritt,m,Tritte
Trubel,m,no plural
Tupfer,m,Tupfer
Überbleibsel,n,Überbleibsel
Übermacht,f,Übermächte
Übernachtung,f,Übernachtungen
Umbau,m,Umbauten
Umdrehung,f,Umdrehungen
Umleitung,f,Umleitungen
Ungewissheit,f,Ungewissheiten
Unterleib,m,Unterleiber
Unterschlagung,f,Unterschlagungen
Untertreibung,f,Untertreibungen
Untier,n,Untiere
Unwesen,n,Unwesen
Unzufriedenheit,f,no plural
Urknall,m,l
Vandalismus,m,no plural
Vektor,m,Vektoren
Veranlagung,f,Veranlagungen
Verbannung,f,Verbannungen
Verbundenheit,f,Verbundenheiten
Verführung,f,Verführungen
Vergeudung,f,Vergeudungen
Vergiftung,f,Vergiftungen
Vergünstigung,f,Vergünstigungen
Verlegung,f,Verlegungen
Verlierer,m,Verlierer
Verlobungsring,m,Verlobungsringe
Vermerk,m,Vermerke
Vermittler,m,Vermittler
Vernehmung,f,Vernehmungen
Versand,m,no plural
Verschlüsselung,f,Verschlüsselungen
Verschmutzung,f,Verschmutzungen
Versteigerung,f,Versteigerungen
Verwesung,f,Verwesungen
Verwüstung,f,Verwüstungen
Verzicht,m,Verzichte
Vlies,n,Vliese
Vöglein,n,Vöglein
Völkermord,m,Völkermorde
Vollendung,f,Vollendungen
Vorgeschichte,f,Vorgeschichten
Vorhut,f,Vorhuten
Vormarsch,m,Vormärsche
Vorrichtung,f,Vorrichtungen
Waffenruhe,f,Waffenruhen
Walross,n,Walrosse
Wanderung,f,Wanderungen
Warenhaus,n,Warenhäuser
Warterei,f,Wartereien
Warze,f,Warzen
Waschbär,m,Waschbären
Wäschekorb,m,Wäschekörbe
Weiblichkeit,f,Weiblichkeiten
Weibsbild,n,Weibsbilder
Vitrine,f,Vitrinen
Weinberg,m,Weinberge
Weinbrand,m,Weinbrände
Wohlfühlen,n,no plural
Wohlgefallen,n,no plural
Wohltätigkeit,f,Wohltätigkeiten
Workshop,m,Workshops
Wortschatz,m,Wortschätze
Wellenlänge,f,Wellenlängen
Wortwahl,f,Wortwahlen
Werwolf,m,Werwölfe
Westentasche,f,Westentaschen
Wiederaufbau,m,no plural
Yak,(,Yaks
Zähler,m,Zähler
Wirbelsturm,m,Wirbelstürme
Zaster,m,no plural
Zauberkraft,f,Zauberkräfte
Zaubertrick,m,Zaubertricks
Zeitreise,f,Zeitreisen
Zirkel,m,Zirkel
Zobel,m,Zobel
Zopf,m,Zöpfe
Zubehör,n,Zubehöre
Zündschnur,f,Zündschnüre
Zurückhaltung,f,Zurückhaltungen
Zurückweisung,f,Zurückweisungen
Zwangsarbeit,f,Zwangsarbeiten
Zwangsjacke,f,Zwangsjacken
Zypern,n,Zypern
Abendbrot,n,Abendbrote
Abfindung,f,Abfindungen
Abgang,m,Abgänge
Absturz,m,Abstürze
Abwechslung,f,Abwechslungen
Abzug,m,Abzüge
Adel,m,no plural
Ader,f,Adern
Abkürzung,f,Abkürzungen
Alarmanlage,f,Alarmanlagen
Alarmstufe,f,Alarmstufen
Ablenkung,f,Ablenkungen
Abmachung,f,Abmachungen
Alliierter,m,Alliierte
Alptraum,m,Alpträume
Alter,n,Alter
Amateur,m,Amateure
Ameise,f,Ameisen
Andenken,n,Andenken
Anschein,m,no plural
Anschuldigung,f,Anschuldigungen
Anfänger,m,Anfänger
Anstalt,f,Anstalten
Anflug,m,Anflüge
Antenne,f,Antennen
Antlitz,n,Antlitze
Angewohnheit,f,Angewohnheiten
Anwesen,n,Anwesen
Anzahlung,f,Anzahlungen
Apotheke,f,Apotheken
Anhänger,m,Anhänger
Aquarium,n,Aquarien
Anker,m,Anker
Arabien,n,Arabien
Anliegen,n,Anliegen
Ära,f,Ären
Anmarsch,n,no plural
Arbeitszimmer,n,Arbeitszimmer
Archiv,n,Archive
Arena,f,Arenen
Armband,n,Armbänder
Aufstellung,f,Aufstellungen
Arrest,m,Arreste
Arroganz,f,Arroganzen
Auftraggeber,m,Auftraggeber
Artillerie,f,Artillerien
Aschenbecher,m,Aschenbecher
Aspirin,n,no plural
Assistent,m,Assistenten
Astronaut,m,Astronauten
Auktion,f,Auktionen
Asyl,n,Asyle
Atemzug,m,Atemzüge
Atombombe,f,Atombomben
Attacke,f,Attacken
Attentäter,m,Attentäter
Attentat,n,Attentate
Ausfahrt,f,Ausfahrten
Aufruf,m,Aufrufe
Aufruhr,m,
Aufseher,m,Aufseher
Aufsicht,f,Aufsichten
Bandit,m,Banditen
Bankräuber,m,Bankräuber
Bankrott,m,Bankrotte
Bann,m,Banne
Base,f,Basen
Ausschuss,m,Ausschüsse
Basketball,m,Basketbälle
Bass,m,Bässe
Bastard,m,Bastarde
Bataillon,n,Bataillone
Baumwolle,f,Baumwollen
Becher,m,Becher
Becken,n,Becken
Aussterben,n,Aussterben
Austausch,m,Austausche
Bedienung,f,Bedienungen
Auswirkung,f,Auswirkungen
Auszeichnung,f,Auszeichnungen
Auszeit,f,Auszeiten
Automat,m,Automaten
Befehlshaber,m,Befehlshaber
Autopsie,f,Autopsien
Autorität,f,Autoritäten
Autoschlüssel,m,Autoschlüssel
Beförderung,f,Beförderungen
Axt,f,Äxte
Befragung,f,Befragungen
Befreiung,f,Befreiungen
Badewanne,f,Badewannen
Balance,f,Balancen
Ballett,n,Ballette
Ballon,m,Ballons
Begehren,n,Begehren
Banane,f,Bananen
Begleitung,f,Begleitungen
Berufung,f,Berufungen
Begräbnis,n,Begräbnisse
Begrüßung,f,Begrüßungen
Behälter,m,Behälter
Beherrschung,f,no plural
Berühmtheit,f,Berühmtheiten
Berührung,f,Berührungen
Beileid,n,no plural
Bescheidenheit,f,no plural
Bekanntschaft,f,Bekanntschaften
Beschützer,m,Beschützer
Beleidigung,f,Beleidigungen
Beleuchtung,f,Beleuchtungen
Besorgnis,f,Besorgnisse
Besserung,f,no plural
Bestätigung,f,Bestätigungen
Bengel,m,Bengel
Bestrafung,f,Bestrafungen
Beule,f,Beulen
Beute,f,Beuten
Beutel,m,Beutel
Brocken,m,Brocken
Brötchen,n,Brötchen
Bruch,m,Brüche
Bewährung,f,Bewährungen
Brücke,f,Brücken
Bücherei,f,Büchereien
Buchhaltung,f,Buchhaltungen
Beweisstück,n,Beweisstücke
Budget,n,Budgets
Bewunderung,f,Bewunderungen
Büffel,m,Büffel
Bezahlung,f,Bezahlungen
Bug,m,Buge
Bund,m,Bünde
Busen,m,Busen
Cabrio,n,Cabrios
Birne,f,Birnen
Campus,m,Campusse
Chauffeur,m,Chauffeure
Chirurg,m,Chirurgen
Chirurgie,f,Chirurgien
Blues,m,no plural
Bluff,m,Bluffs
Christ,m,Christen
Cocktail,m,Cocktails
Bluse,f,Blusen
Container,m,Container
Coup,m,Coups
Brandstiftung,f,Brandstiftungen
Bräutigam,m,Bräutigame
Dämmerung,f,Dämmerungen
Brei,m,Breie
Damm,m,Dämme
Dampf,m,Dämpfe
Dänemark,n,rk
Brigade,f,Brigaden
Dankbarkeit,f,Dankbarkeiten
Darbietung,f,Darbietungen
Drehung,f,Drehungen
Dasein,n,Daseine
Drohung,f,Drohungen
Deckel,m,Deckel
Defekt,m,Defekte
Duell,n,Duelle
Dummheit,f,Dummheiten
Durchbruch,m,Durchbrüche
Depression,f,Depressionen
Durchreise,f,Durchreisen
Durchsage,f,Durchsagen
Desaster,n,Desaster
Design,n,Designs
Dilemma,n,Dilemmas
Dimension,f,Dimensionen
Dynastie,f,Dynastien
Dinner,n,Dinner
Dinosaurier,m,Dinosaurier
Diskretion,f,no plural
Division,f,Divisionen
Dock,n,Docks
Dolch,m,Dolche
Donner,m,Donner
Dosis,f,Dosen
Eiche,f,Eichen
Draht,m,Drähte
Eichhörnchen,n,Eichhörnchen
Einbildung,f,Einbildungen
Elektrizität,f,no plural
Elite,f,Eliten
Einfahrt,f,Einfahrten
Enkelin,f,Enkelinnen
Entführer,m,Entführer
Entschädigung,f,Entschädigungen
Entschluss,m,Entschlüsse
Entsetzen,n,no plural
Entzug,m,Entzüge
Erbarmen,n,no plural
Einwand,m,Einwände
Eiscreme,f,Eiscremes
Eitelkeit,f,Eitelkeiten
Erbse,f,Erbsen
Ekel,m,no plural
Erdnussbutter,f,no plural
Elefant,m,Elefanten
Erfinder,m,Erfinder
Erwärmung,f,Erwärmungen
Erzbischof,m,Erzbischöfe
Eskorte,f,Eskorten
Eule,f,Eulen
Erkältung,f,Erkältungen
Evakuierung,f,Evakuierungen
Evolution,f,Evolutionen
Examen,n,Examen
Exemplar,n,Exemplare
Erleichterung,f,Erleichterungen
Exil,n,Exile
Erleuchtung,f,Erleuchtungen
Expedition,f,Expeditionen
Erlösung,f,Erlösungen
Ermittler,m,Ermittler
Ermordung,f,Ermordungen
Fackel,f,Fackeln
Ernte,f,Ernten
Fahrstuhl,m,Fahrstühle
Erpressung,f,Erpressungen
Fallschirm,m,Fallschirme
Fälschung,f,Fälschungen
Falte,f,Falten
Fax,n,Faxe
Feder,f,Federn
Feierabend,m,Feierabende
Ferkel,n,Ferkel
Fernglas,n,Ferngläser
Fotograf,m,Fotografen
Freak,m,Freaks
Freundlichkeit,f,Freundlichkeiten
Frost,m,Fröste
Filmstar,m,Filmstars
Fund,m,Funde
Filter,m,Filter
Fingerabdruck,m,Fingerabdrücke
Fingernagel,m,Fingernägel
Fürsorge,f,no plural
Flanke,f,Flanken
Gabel,f,Gabeln
Fledermaus,f,Fledermäuse
Gag,m,Gags
Galgen,m,Galgen
Gänsehaut,f,no plural
Flinte,f,Flinten
Gans,f,Gänse
Flora,f,Floren
Garantie,f,Garantien
Flöte,f,Flöten
Garde,f,Garden
Gärtner,m,Gärtner
Gastgeber,m,Gastgeber
Gebet,n,Gebete
Flut,f,Fluten
Gebieter,m,Gebieter
Föderation,f,Föderationen
Gebot,n,Gebote
Formel,f,Formeln
Formular,n,Formulare
Gewahrsam,m,Gewahrsame
Gegenleistung,f,Gegenleistungen
Gegenmittel,n,Gegenmittel
Gewissheit,f,Gewissheiten
Gier,f,no plural
Geier,m,Geier
Geige,f,Geigen
Geiger,m,Geiger
Gips,m,Gipse
Geldbeutel,m,Geldbeutel
Gitter,n,Gitter
Generator,m,Generatoren
Gleis,n,Gleise
Genie,n,Genies
Genuss,m,Genüsse
Glücksbringer,m,Glücksbringer
Glückspilz,m,Glückspilze
Glücksspiel,n,Glücksspiele
Glückstag,m,Glückstage
Geschick,n,Geschicke
Gorilla,m,Gorillas
Geschirr,n,Geschirre
Geschöpf,n,Geschöpfe
Geschütz,n,Geschütze
Graf,m,Grafen
Granate,f,Granaten
Gespenst,n,Gespenster
Hebel,m,Hebel
Grausamkeit,f,Grausamkeiten
Heck,n,Hecks
Heiligabend,m,Heiligabende
Heilmittel,n,Heilmittel
Heilung,f,Heilungen
Heimweg,m,Heimwege
Grube,f,Gruben
Heimweh,n,no plural
Heizung,f,Heizungen
Hektar,n,Hektare
Gummi,(,Gummis
Herd,m,Herde
Habgier,f,no plural
Haftbefehl,m,Haftbefehle
Häftling,m,Häftlinge
Hähnchen,n,Hähnchen
Herzanfall,m,Herzanfälle
Hai,m,Haie
Herzschlag,m,Herzschläge
Halluzination,f,Halluzinationen
Halsband,n,Halsbänder
Hexe,f,Hexen
Hamburger,H,ger
Hexerei,f,Hexereien
Handbuch,n,Handbücher
Handvoll,f,Handvoll
Handwerk,n,Handwerke
Harmonie,f,Harmonien
Haube,f,Hauben
Hauch,m,Hauche
Hausarbeit,f,Hausarbeiten
Hausarrest,m,Hausarreste
Hindernis,n,Hindernisse
Hausfrau,f,Hausfrauen
Haustier,n,Haustiere
Hingabe,f,no plural
Hautfarbe,f,Hautfarben
Identifizierung,f,Identifizierungen
Hinrichtung,f,Hinrichtungen
Illusion,f,Illusionen
Inder,m,Inder
Hinterhalt,m,Hinterhalte
Indianer,m,Indianer
Hinterkopf,m,Hinterköpfe
Hintertür,f,Hintertüren
Initiale,f,Initialen
Hirte,m,Hirten
Insasse,m,Insassen
Hockey,n,no plural
Inschrift,f,Inschriften
Hoden,m,Hoden
Insekt,n,Insekten
Institution,f,Institutionen
Instrument,n,Instrumente
Horizont,m,Horizonte
Hort,m,Horte
Hospital,n,Hospitale
Hotelzimmer,n,Hotelzimmer
Hülle,f,Hüllen
Hummer,m,Hummer
Irak,m,Irak
Ironie,f,Ironien
Hüter,m,Hüter
Hypnose,f,Hypnosen
Hypothek,f,Hypotheken
Jackett,n,Jacketts
Jahrestag,m,Jahrestage
Jahreszeit,f,Jahreszeiten
Jahrgang,m,Jahrgänge
Kern,m,Kerne
Kessel,m,Kessel
Ketchup,m,Ketchups
Kick,m,Kicks
Jazz,m,no plural
Jeep,m,Jeeps
Jet,m,Jets
Klan,m,Klans
Joint,m,Joints
Klassiker,m,Klassiker
Justiz,f,no plural
Juwel,n,Juwelen
Klatsch,m,Klatsche
Käfer,m,Käfer
Kahn,m,Kähne
Kai,m,Kais
Klippe,f,Klippen
Klo,n,Klos
Kakerlak,m,Kakerlaken
Klub,m,Klubs
Kalb,n,Kälber
Knabe,m,Knaben
Kaliber,n,Kaliber
Knecht,m,Knechte
Kampagne,f,Kampagnen
Kode,m,Kodes
Kanzlei,f,Kanzleien
Koks,m,
Kapelle,f,Kapellen
Kolonie,f,Kolonien
Kolumne,f,Kolumnen
Kaplan,m,Kapläne
Komiker,m,Komiker
Kappe,f,Kappen
Komitee,n,Komitees
Karate,n,no plural
Kommando,n,Kommandos
Kardinal,m,Kardinäle
Kasino,n,Kasinos
Komödie,f,Komödien
Komplikation,f,Komplikationen
Kavallerie,f,Kavallerien
Komplize,m,Komplizen
Kaviar,m,Kaviare
Kondom,n,Kondome
Kuckuck,m,Kuckucke
Konsul,m,Konsuln
Konversation,f,Konversationen
Konvoi,m,Konvois
Kuppel,f,Kuppeln
Kürbis,m,Kürbisse
Koordinate,f,Koordinaten
Kurier,m,Kuriere
Kopfgeldjäger,m,Kopfgeldjäger
Kopfhörer,m,Kopfhörer
Kopfweh,n,no plural
Korn,n,Körner
Kusine,f,Kusinen
Küstenwache,f,Küstenwachen
Kutsche,f,Kutschen
Korrektur,f,Korrekturen
Korridor,m,Korridore
Lagerhaus,n,Lagerhäuser
Lamm,n,Lämmer
Krabbe,f,Krabben
Langeweile,f,no plural
Kragen,m,Kragen
Krähe,f,Krähen
Kralle,f,Krallen
Läufer,m,Läufer
Lebensform,f,Lebensformen
Krater,m,Krater
Kreide,f,Kreiden
Leder,n,Leder
Kreuzung,f,Kreuzungen
Leichenhalle,f,Leichenhallen
Kristall,m,Kristalle
Leichnam,m,Leichname
Krokodil,n,Krokodile
Kröte,f,Kröten
Krug,m,Krüge
Krüppel,m,Krüppel
Mandant,m,Mandanten
Lenkrad,n,Lenkräder
Manöver,n,Manöver
Marschall,m,Marschälle
Level,m,Levels
Märtyrer,m,Märtyrer
Masche,f,Maschen
Massage,f,Massagen
Lieferwagen,m,Lieferwagen
Massaker,n,Massaker
Lift,m,Lifte
Masse,f,Massen
Limonade,f,Limonaden
Limousine,f,Limousinen
Matratze,f,Matratzen
Maulwurf,m,Maulwürfe
List,f,Listen
Logik,f,Logiken
Lok,f,Loks
Lotto,n,Lottos
Melone,f,Melonen
Menü,n,Menüs
Luder,n,Luder
Luftwaffe,f,Luftwaffen
Lump,m,
Metro,f,Metros
Lunch,m,Lunches
Metzger,m,Metzger
Meuterei,f,Meutereien
Mikrofon,n,Mikrofone
Missachtung,f,Missachtungen
Mahlzeit,f,Mahlzeiten
Misstrauen,n,no plural
Mais,m,no plural
Nachname,m,Nachnamen
Nachschub,m,Nachschübe
Mitbewohner,m,Mitbewohner
Nachthemd,n,Nachthemden
Mitbürger,m,Mitbürger
Nagel,m,Nägel
Mitteilung,f,Mitteilungen
Neger,m,Neger
Neid,m,no plural
Mittler,m,Mittler
Neigung,f,Neigungen
Nervensäge,f,Nervensägen
Neuanfang,m,Neuanfänge
Neugier,f,no plural
Mönch,m,Mönche
Monitor,m,Monitoren
Nickerchen,n,Nickerchen
Niere,f,Nieren
Morgengrauen,n,no plural
Niete,f,Nieten
Moschee,f,Moscheen
Nonne,f,Nonnen
Mühle,f,Mühlen
Mumie,f,Mumien
Munition,f,no plural
Norm,f,Normen
Notarzt,m,Notärzte
Notaufnahme,f,Notaufnahmen
Musical,n,Musicals
Mutation,f,Mutationen
Notizbuch,n,Notizbücher
Notruf,m,Notrufe
Nudel,f,Nudeln
Nuss,f,Nüsse
Nutte,f,Nutten
Oberin,f,Oberinnen
Obhut,f,no plural
Pfeffer,m,Pfeffer
Ochse,m,Ochsen
Offenbarung,f,Offenbarungen
